PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Lu, HP; Lin, CS; Wu, CM; Peng, SC; Feng, IJ; Lin, YS				Lu, Hui-Ping; Lin, Chih-Shin; Wu, Che-Ming; Peng, Shu-Chen; Feng, I. Jung; Lin, Yung-Song			The effect of lexical tone experience on English intonation perception in Mandarin-speaking cochlear-implanted children	MEDICINE				Article								To examine the effect of lexical tone experience on English intonation perception in Mandarin-speaking cochlear-implanted children during second language acquisition in Taiwan. A retrospective cohort study. A tertiary referred center. Fourteen children with cochlear implant (CI) in the experimental group, and 9 normal hearing children in the control group were enrolled in this study. Cochlear implantation and hearing rehabilitation. Two speech recognition accuracies were examined: (1) Lexical tone recognition (4-alternative forced choice, AFC), (2) English Sentence Intonation (2AFC). The overall accuracies for tone perception are 61.13% (standard deviation, SD = 10.84%) for CI group and 93.82% (SD = 1.80%) for normal hearing group. Tone 4 and Tone 1 were more easily to be recognized than tone 2 and tone 3 in the pediatric CI recipients (cCI) group. In English intonation perception, the overall accuracies are 61.82% (SD = 16.85%) for CI group, and 97.59% (SD = 4.73%) for normal hearing group. Significant high correlation (R = .919, P <= .000) between lexical tone perception and English intonation perception is noted. There is no significant difference for English intonation perception accuracies between Mandarin-speaking cCI (61.82%) and English-speaking cCI (70.13%, P = .11). Mandarin-speaking cochlear-implanted children showed significant deficits in perception of lexical tone and English intonation relative to normal hearing children. There was no tonal language benefit in Mandarin-speaking cochlear-implanted children's English intonation perception, compared to the English-speaking cochlear-implanted peers. For cochlear-implanted children, better lexical tone perception comes with better English intonation perception. Enhancing Mandarin prosodic perception for cochlear-implanted children may benefit their command of intonation in English.												2	2											JUL 15	2022	101	28							e29567	10.1097/MD.0000000000029567	http://dx.doi.org/10.1097/MD.0000000000029567												2026-01-16	WOS:000825571400034
J	Tao, DD; Deng, R; Jiang, Y; Galvin, JJ; Fu, QJ; Chen, B				Tao, Duoduo; Deng, Rui; Jiang, Ye; Galvin, John J., III; Fu, Qian-Jie; Chen, Bing			Melodic Pitch Perception and Lexical Tone Perception in Mandarin-Speaking Cochlear Implant Users	EAR AND HEARING				Article								Objectives: To examine the relationship between lexical tone perception and melodic pitch perception in Mandarin-speaking cochlear implant (CI) users and to investigate the influence of previous acoustic hearing on CI users' speech and music perception. Design: Lexical tone perception and melodic contour identification (MCI) were measured in 21 prelingual and 11 postlingual young (aged 6-26 years) Mandarin-speaking CI users. Lexical tone recognition was measured for four tonal patterns: tone 1 (flat F0), tone 2 (rising F0), tone 3 (falling-rising F0), and tone 4 (falling F0). MCI was measured using nine five-note melodic patterns that contained changes in pitch contour, as well as different semitone spacing between notes. Results: Lexical tone recognition was generally good (overall mean = 81% correct), and there was no significant difference between subject groups. MCI performance was generally poor (mean = 23% correct). MCI performance was significantly better for postlingual (mean = 32% correct) than for prelingual CI participants (mean = 18% correct). After correcting for outliers, there was no significant correlation between lexical tone recognition and MCI performance for prelingual or postlingual CI participants. Age at deafness was significantly correlated with MCI performance only for postlingual participants. CI experience was significantly correlated with MCI performance for both prelingual and postlingual participants. Duration of deafness was significantly correlated with tone recognition only for prelingual participants. Conclusions: Despite the prevalence of pitch cues in Mandarin, the present CI participants had great difficulty perceiving melodic pitch. The availability of amplitude and duration cues in lexical tones most likely compensated for the poor pitch perception observed with these CI listeners. Previous acoustic hearing experience seemed to benefit postlingual CI users' melodic pitch perception. Longer CI experience was associated with better MCI performance for both subject groups, suggesting that CI users' music perception may improve as they gain experience with their device.												38	51											JAN	2015	36	1					102	110		10.1097/AUD.0000000000000086	http://dx.doi.org/10.1097/AUD.0000000000000086												2026-01-16	WOS:000346911200011
J	Tong, XL; Tong, XH; McBride-Chang, C				Tong, Xiuli; Tong, Xiuhong; McBride-Chang, Catherine			Tune in to the Tone: Lexical Tone Identification is Associated with Vocabulary and Word Recognition Abilities in Young Chinese Children	LANGUAGE AND SPEECH				Article								Lexical tone is one of the most prominent features in the phonological representation of words in Chinese. However, little, if any, research to date has directly evaluated how young Chinese children's lexical tone identification skills contribute to vocabulary acquisition and character recognition. The present study distinguished lexical tones from segmental phonological awareness and morphological awareness in order to estimate the unique contribution of lexical tone in early vocabulary acquisition and character recognition. A sample of 199 Cantonese children aged 5-6 years was assessed on measures of lexical tone identification, segmental phonological awareness, morphological awareness, nonverbal ability, vocabulary knowledge, and Chinese character recognition. It was found that lexical tone awareness and morphological awareness were both associated with vocabulary knowledge and character recognition. However, there was a significant relationship between lexical tone awareness and both vocabulary knowledge and character recognition, even after controlling for the effects of age, nonverbal ability, segmental phonological awareness and morphological awareness. These findings suggest that lexical tone is a key factor accounting for individual variance in young children's lexical acquisition in Chinese, and that lexical tone should be considered in understanding how children learn new Chinese vocabulary words, in either oral or written forms.												29	31											DEC	2015	58	4					441	458		10.1177/0023830914562988	http://dx.doi.org/10.1177/0023830914562988												2026-01-16	WOS:000367472500002
J	Chen, YF; Yang, Y; Zhang, XY; Chen, F				Chen, Yufeng; Yang, Yu; Zhang, Xueying; Chen, Fei			Meta-analysis on lexical tone recognition in cochlear implant users	INTERNATIONAL JOURNAL OF AUDIOLOGY				Review								ObjectiveLexical tone plays a vital role in speech communication in tonal languages. This study investigated lexical tone recognition in cochlear implant (CI) users, and identified potential factors that influence lexical tone recognition in the CI population.DesignWe conducted a systematic search across eleven major databases, evaluated the risk of bias in the included studies, and conducted five meta-analyses.Study sampleForty studies that utilised a multi-item alternative forced-choice paradigm were included to evaluate the performance of lexical tone recognition in CI users.ResultsCI users performed worse at recognising lexical tones than normal hearing (NH) controls. Furthermore, bimodal stimulation could benefit lexical tone recognition for CI users in both quiet and noisy conditions. Besides, the pooled results showed a negative correlation between tone recognition accuracy and age at implantation, as well as a positive correlation between tone recognition performance and the duration of CI experience.ConclusionsThis study indicates that CI users could not recognise lexical tones at the same level as the NH population. The bimodal intervention does have a more positive effect than unimodal implantation regardless of the listening environment. Moreover, earlier implantation and longer experience with the CI could facilitate lexical tone recognition.												2	2											JUN 2	2025	64	6					557	569		10.1080/14992027.2025.2456003	http://dx.doi.org/10.1080/14992027.2025.2456003		JAN 2025										2026-01-16	WOS:001410864300001
J	Liang, BS; Du, Y				Liang, Baishen; Du, Yi			The Functional Neuroanatomy of Lexical Tone Perception: An Activation Likelihood Estimation Meta-Analysis	FRONTIERS IN NEUROSCIENCE				Review								In tonal language such as Chinese, lexical tone serves as a phonemic feature in determining word meaning. Meanwhile, it is close to prosody in terms of suprasegmental pitch variations and larynx-based articulation. The important yet mixed nature of lexical tone has evoked considerable studies, but no consensus has been reached on its functional neuroanatomy. This meta-analysis aimed at uncovering the neural network of lexical tone perception in comparison with that of phoneme and prosody in a unified framework. Independent Activation Likelihood Estimation meta-analyses were conducted for different linguistic elements: lexical tone by native tonal language speakers, lexical tone by non-tonal language speakers, phoneme, word-level prosody, and sentence-level prosody. Results showed that lexical tone and prosody studies demonstrated more extensive activations in the right than the left auditory cortex, whereas the opposite pattern was found for phoneme studies. Only tonal language speakers consistently recruited the left anterior superior temporal gyrus (STG) for processing lexical tone, an area implicated in phoneme processing and word-form recognition. Moreover, an anterior-lateral to posterior-medial gradient of activation as a function of element timescale was revealed in the right STG, in which the activation for lexical tone lied between that for phoneme and that for prosody. Another topological pattern was shown on the left precentral gyrus (preCG), with the activation for lexical tone overlapped with that for prosody but ventral to that for phoneme. These findings provide evidence that the neural network for lexical tone perception is hybrid with those for phoneme and prosody. That is, resembling prosody, lexical tone perception, regardless of language experience, involved right auditory cortex, with activation localized between sites engaged by phonemic and prosodic processing, suggesting a hierarchical organization of representations in the right auditory cortex. For tonal language speakers, lexical tone additionally engaged the left STG lexical mapping network, consistent with the phonemic representation. Similarly, when processing lexical tone, only tonal language speakers engaged the left preCG site implicated in prosody perception, consistent with tonal language speakers having stronger articulatory representations for lexical tone in the laryngeal sensorimotor network. A dynamic dual-stream model for lexical tone perception was proposed and discussed.												50	53											JUL 24	2018	12								495	10.3389/fnins.2018.00495	http://dx.doi.org/10.3389/fnins.2018.00495												2026-01-16	WOS:000439602900001
J	Gao, X; Yan, TT; Tang, DL; Huang, T; Shu, H; Nan, Y; Zhang, YX				Gao, Xiang; Yan, Ting-Ting; Tang, Ding-Lan; Huang, Ting; Shu, Hua; Nan, Yun; Zhang, Yu-Xuan			What Makes Lexical Tone Special: A Reverse Accessing Model for Tonal Speech Perception	FRONTIERS IN PSYCHOLOGY				Article								Previous studies of tonal speech perception have generally suggested harder or later access to lexical tone than segmental information, but the mechanism underlying the lexical tone disadvantage is unclear. Using a speeded discrimination paradigm free of context information, we confirmed multiple lines of evidence for the lexical tone disadvantage as well as revealed a distinctive advantage of word and atonal syllable judgments over phoneme and lexical tone judgments. The results led us to propose a Reverse Accessing Model (RAM) for tonal speech perception. The RAM is an extension of the influential TRACE model, with two additional processing levels specialized for tonal speech: lexical tone and atonal syllable. Critically, information accessing is assumed to be in reverse order of information processing, and only information at the syllable level and up is maintained active for immediate use. We tested and confirmed the predictions of the RAM on discrimination of each type of phonological component under different stimulus conditions. The current results have thus demonstrated the capability of the RAM as a general framework for tonal speech perception to provide a united account for empirical observations as well as to generate testable predictions.												11	12											DEC 18	2019	10								2830	10.3389/fpsyg.2019.02830	http://dx.doi.org/10.3389/fpsyg.2019.02830												2026-01-16	WOS:000505028100001
J	Chen, A; Stevens, CJ; Kager, R				Chen, Ao; Stevens, Catherine J.; Kager, Rene			Pitch Perception in the First Year of Life, a Comparison of Lexical Tones and Musical Pitch	FRONTIERS IN PSYCHOLOGY				Article								Pitch variation is pervasive in speech, regardless of the language to which infants are exposed. Lexical tone is influenced by general sensitivity to pitch. We examined whether the development in lexical tone perception may develop in parallel with perception of pitch in other cognitive domains namely music. Using a visual fixation paradigm, 100 and one 4- and 12-month-old Dutch infants were tested on their discrimination of Chinese rising and dipping lexical tones as well as comparable three-note musical pitch contours. The 4-month-old infants failed to show a discrimination effect in either condition, whereas the 12-month-old infants succeeded in both conditions. These results suggest that lexical tone perception may reflect and relate to general pitch perception abilities, which may serve as a basis for developing more complex language and musical skills.												33	36											MAR 9	2017	8								297	10.3389/fpsyg.2017.00297	http://dx.doi.org/10.3389/fpsyg.2017.00297												2026-01-16	WOS:000395787000001
J	Yang, L; Zhang, JP; Shaw, J; Yan, YH				Yang, Lin; Zhang, Jianping; Shaw, Jian; Yan, Yonghong			Effects of the temporal fine structure in different frequency bands on Mandarin tone perception	IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS				Article								This letter evaluates the relative contributions of temporal fine structure cues in various frequency bands to Mandarin tone perception using novel "auditory chimaeras". Our results confirm the importance of temporal fine structure cues to lexical tone perception and the dominant region of lexical tone perception is found, namely the second to fifth harmonics can contribute no less than the fundamental frequency itself.												0	0											FEB	2008	E91D	2					371	374		10.1093/ietisy/e91-d.2.371	http://dx.doi.org/10.1093/ietisy/e91-d.2.371												2026-01-16	WOS:000253655800026
J	Tan, J; Dowell, R; Vogel, A				Tan, Johanna; Dowell, Richard; Vogel, Adam			Mandarin Lexical Tone Acquisition in Cochlear Implant Users With Prelingual Deafness: A Review	AMERICAN JOURNAL OF AUDIOLOGY				Review								Purpose: The purpose of this review article is to synthesize evidence from the fields of developmental linguistics and cochlear implant technology relevant to the production and perception of Mandarin lexical tone in cochlear implant users with prelingual deafness. The aim of this review was to identify potential factors that determine outcomes for tonal-language speaking cochlear implant users and possible directions for further research. Method: A computerized database search of MEDLINE, CINAHL, Academic Search Premier, Web of Science, and Google Scholar was undertaken in June and July 2014. Search terms used were lexical tone AND tonal language, speech development AND/OR speech production AND/OR speech perception AND cochlear implants, and pitch perception AND cochlear implants, anywhere in the title or abstract. Conclusion: Despite the demonstrated limitations of pitch perception in cochlear implant users, there is some evidence that typical production and perception of lexical tone is possible by cochlear implant users with prelingual deafness. Further studies are required to determine the factors that contribute to better outcomes to inform rehabilitation processes for cochlear implant users in tonal-language environments.												23	24											SEP	2016	25	3					246	256		10.1044/2016_AJA-15-0069	http://dx.doi.org/10.1044/2016_AJA-15-0069												2026-01-16	WOS:000384230400009
J	Lin, YS; Lu, HP; Hung, SC; Chang, CP				Lin, Yung-Song; Lu, Huei-Ping; Hung, Su-Chen; Chang, Chung-Ping			Lexical tone identification and consonant recognition in acoustic simulations of cochlear implants	ACTA OTO-LARYNGOLOGICA				Article								Conclusion: Cochlear implant (CI) recipients' performance of lexical tone identification and consonant recognition can be enhanced by providing greater spectral details. Objective: To evaluate the effects of increasing the number of total spectral channels on the lexical tone identification and consonant recognition by normally hearing listeners who are native speakers of Mandarin Chinese. Subjects and methods: Lexical tone identification and consonant recognition were measured in 15 Mandarin-speaking, normal-hearing (NH) listeners with varied numbers of total spectral channels (i.e. 4, 6, 8, 10, 12, 16, 20, and 24), using acoustic simulations of CIs. Results: The group of NH listeners' performance of lexical tone identification ranged from 44.53% to 66.60% with 4-24 spectral channels. The performance of tone identification between channels 4 and 16 remained similar; between channels 16 and 20 performance improved significantly. As regards consonant recognition, the NH listeners' overall accuracy ranged from 73.17% to 95.33% with 4-24 channels. Steady improvement in consonant recognition accuracy was observed as a function of increasing the spectral channels. With about 12-16 spectral channels, the NH listeners' overall accuracy in consonant recognition began to be comparable to their accuracy with the unprocessed stimuli.												4	5												2009	129	6					630	637	PII 907479731	10.1080/00016480802032793	http://dx.doi.org/10.1080/00016480802032793												2026-01-16	WOS:000266080800007
