PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Lindfield, KC; Wingfield, A; Goodglass, H				Lindfield, KC; Wingfield, A; Goodglass, H			The role of prosody in the mental lexicon	BRAIN AND LANGUAGE				Article; Proceedings Paper	1st International Conference on the Mental Lexicon	SEP 03, 1998	UNIV ALBERTA, EDMONTON, CANADA		UNIV ALBERTA			Current models of spoken word recognition take into account factors such as word frequency, word onset cohort size, and phonological neighborhood density. Using the word onset gating technique we tested word recognition when bandpass filtering was used to allow subjects to hear the full prosodic pattern of a word (number of syllables and syllabic stress), deprived of segmental information beyond that contained in the onset gate. Subjects also heard either word onsets plus duration information or only word onsets. Results suggest that word prosody is represented in the mental lexicon and is effectively used by listeners in spoken word recognition. (C) 1999 Academic Press.												27	34											JUN 1	1999	68	1-2					312	317		10.1006/brln.1999.2094	http://dx.doi.org/10.1006/brln.1999.2094												2026-01-16	WOS:000081530300044
J	Tokimoto, S; d'Arcais, GBF				Tokimoto, S; d'Arcais, GBF			Segmentation and selection of appropriate Chinese characters in writing place names in Japanese	JOURNAL OF PSYCHOLINGUISTIC RESEARCH				Article								This paper explores the relation between an unknown place name written in hiragana (a Japanese syllabary) and its corresponding written representation in kanji (Chinese characters). We propose three principles as those operating in the selection of the appropriate Chinese characters in writing unknown place names. The three principles are concerned with the combination of on and kun readings (zyuubako-yomi), the number of segmentations. and the bimoraicity characteristics of kanji chosen. We performed two experiments to test the principles: the results supported our hypotheses. These results have some implications for the structure of the Japanese mental lexicon, for the processing load in the use of Chinese characters, and for Japanese prosody and morphology.												0	0											MAR	2001	30	2					135	145		10.1023/A:1010373727869	http://dx.doi.org/10.1023/A:1010373727869												2026-01-16	WOS:000168772000002
J	Koester, D				Koester, Dirk			Prosody in parsing morphologically complex words: Neurophysiological evidence	COGNITIVE NEUROPSYCHOLOGY				Article								Little is known about the neurophysiological correlates of lexical prosody in the comprehension of compound words, i.e., morphologically complex words. Here, it is investigated whether lexical prosody influences the decomposition of spoken compound words. In order to explore the neurophysiological correlates (event-related potentials, ERP) of a compound prosody, German native speakers had to judge the number agreement between numerals and nouns which did or did not agree in 50% of the cases. Importantly, the nouns carried either a compound or non-compound (single noun) prosody. The compound prosody led to increased reaction times (RTs) and reduced judgement accuracy. Critically, number violations for words with a compound prosody elicited an increased ERP negativity that was delayed by about 600ms relative to a left-anterior negativity elicited by number violations for a single noun prosody. The ERP effect for the compound prosody preceded the according behavioural response by about 200ms and the ERP peak latency effect correlated with the RT effect. These findings suggest that the ERP effect for the compound prosody could be functionally related to the accurate judgement performance for the compound prosody. The results suggest, more generally, that prosody plays a critical role in auditory compound comprehension and morphological processing.												3	5											FEB 17	2014	31	1-2			SI		147	163		10.1080/02643294.2013.857649	http://dx.doi.org/10.1080/02643294.2013.857649												2026-01-16	WOS:000335196800008
J	Ashby, M				Ashby, Michael			Prosody and idioms in English	JOURNAL OF PRAGMATICS				Article; Proceedings Paper	Conference on Prosody and Pragmatics	NOV, 2003	Preston, ENGLAND					English idioms commonly appear to exhibit relatively fixed prosodic patterns, and departure from the expected prosodic pattern can give rise to humorous and bizarre effects. As idioms are generally supposed to require phrasal entries in the mental lexicon, there is some initial plausibility in the proposal that such entries might include arbitrary prosodic or accentual properties. Various categories of idiom can be distinguished, according to which aspects of the prosodic pattern seem to be fixed, and the relationship the pattern bears to those which would be expected on corresponding literal expressions. Nevertheless it is argued that the prosodic patterns of idioms are in reality neither fixed nor arbitrary. The bizarre effects in interpretation result not from deviation from a lexically specified pattern, but from the attempt to introduce focus distinctions into the non-compositional parts of idioms. Implications for psycholinguistic studies of the processing of ambiguous sentences are discussed. (c) 2006 Elsevier B.V. All rights reserved.												20	25											OCT	2006	38	10					1580	1597		10.1016/j.pragma.2005.03.018	http://dx.doi.org/10.1016/j.pragma.2005.03.018												2026-01-16	WOS:000240755300004
J	Michelas, A; Dufour, S				Michelas, Amandine; Dufour, Sophie			Are Prosodic Variants Stored in the French Mental Lexicon?	EXPERIMENTAL PSYCHOLOGY				Article								A long-term priming experiment examined the way stress information is processed and represented in French speakers' mind. Repeated prime and target words either matched (/ba'do/ - /ba'do/ "headband") or mismatched their stress pattern (/bado/ - /ba'do/). In comparison to a control condition (/makc/ - /ba'do/), the results showed that matching and mismatching primes were equally effective in facilitating the processing of the target words. Thus, despite the fact that French speakers routinely produce and hear words in their stressed and unstressed versions, this study suggests that stress in French is not integrated into lexical representations.												5	6											NOV	2019	66	6					393	401		10.1027/1618-3169/a000462	http://dx.doi.org/10.1027/1618-3169/a000462												2026-01-16	WOS:000514569700002
J	Tucker, BV; Ernestus, M				Tucker, Benjamin V.; Ernestus, Mirjam			Why we need to investigate casual speech to truly understand language production, processing and the mental lexicon	MENTAL LEXICON				Article								The majority of studies addressing psycholinguistic questions focus on speech produced and processed in a careful, laboratory speech style. This 'careful' speech is very different from the speech that listeners encounter in casual conversations. This article argues that research on casual speech is necessary to show the validity of conclusions based on careful speech. Moreover, research on casual speech produces new insights and questions on the processes underlying communication and on the mental lexicon that cannot be revealed by research using careful speech. This article first places research on casual speech in its historic perspective. It then provides many examples of how casual speech differs from careful speech and shows that these differences may have important implications for psycholinguistic theories. Subsequently, the article discusses the challenges that research on casual speech faces, which stem from the high variability of this speech style, its necessary casual context, and that casual speech is connected speech. We also present opportunities for research on casual speech, mostly in the form of new experimental methods that facilitate research on connected speech. However, real progress can only be made if these new methods are combined with advanced (still to be developed) statistical techniques.												29	33												2016	11	3					375	400		10.1075/ml.11.3.03tuc	http://dx.doi.org/10.1075/ml.11.3.03tuc												2026-01-16	WOS:000391222400003
J	Felder, V; Jönsson-Steiner, E; Eulitz, C; Lahiri, A				Felder, Verena; Joensson-Steiner, Elisabet; Eulitz, Carsten; Lahiri, Aditi			Asymmetric processing of lexical tonal contrast in Swedish	ATTENTION PERCEPTION & PSYCHOPHYSICS				Article								Languages such as Swedish use suprasegmental information such as tone, over and above segments, to mark lexical contrast. Theories differ with respect to the abstractness and specification of tone in the mental lexicon. In a forced choice task, we tested Swedish listeners' responses to words with segmentally identical first syllables differing in tonal contours (characterized as Accents 1 and 2). We assumed Accent I to be lexically specified for a subset of words and hypothesized that this specification would speed up word accent identification. As was predicted, listeners were fastest in choosing the tonally correct word when the accent was lexically specified. We conclude that the processing of surface tonal contours is governed by their underlying lexical structure with tonal specification.												9	9											NOV	2009	71	8					1890	1899		10.3758/APP.71.8.1890	http://dx.doi.org/10.3758/APP.71.8.1890												2026-01-16	WOS:000272722800017
J	Feizabadi, PS; Bijankhan, M				Feizabadi, Parvin Sadat; Bijankhan, Mahmood			The Effect of Non-sentential Context Prosody on Homographs' Lexical Activation in Persian	JOURNAL OF PSYCHOLINGUISTIC RESEARCH				Article								This study examines the effect of non-sentential context prosody pattern on lexical activation in Persian. For this purpose a questionnaire including target and non-target words is used. The target words are homographs with two possible stress patterns belonging to different syntactic categories. Participants are asked to read out the words aloud and note the first word that comes to their mind. The results show that by reading the target words, both meanings of the target words are activated in mind and the prosodic pattern of the non-sentential preceding context does not affect the activation of the other stress pattern meaning. This result suggests that the metrical prosodic pattern of non-sentential context is not a strong constraint to determine which meaning of the target word must be activated. The experiment also illustrates that the stress pattern used to read the target words does not necessarily matches the stress pattern of the target word which relates to the written word. These findings confirm Swinney (Verb Learn Verb Behav 18:645-665, 1979) and Elston-Guttler and Friederici's (J Mem Lang 52(2):256-283, 2005) finding that both meanings of an ambiguous word are accessed at the first stage. This study shows that in lack of semantic context, Persian natives behave homographs as ambiguous words and there is no bias towards preferring one meaning over another.												0	0											DEC	2015	44	6					831	838		10.1007/s10936-014-9324-4	http://dx.doi.org/10.1007/s10936-014-9324-4												2026-01-16	WOS:000363051400011
J	Isel, F; Gunter, TC; Friederici, AD				Isel, F; Gunter, TC; Friederici, AD			Prosody-assisted head-driven access to spoken German compounds	JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION				Article								Auditory processing of German 2-noun compound words was investigated with 328 participants in 4 experiments by monitoring semantic priming effects of the left constituents of the compound words. The authors demonstrated that there is no primacy of the left constituents in accessing auditorily presented German compound words in the mental lexicon. A clear priming effect of left constituents occurred only for compound words with a transparent right constituent that is the head of compound words in Germanic languages. The data suggest that the access to German compounds in the auditory domain involves 2 temporally overlapping routes: direct and decompositional. The prosodic structure (i.e., the duration) of the first morphemes of compound words appears to be a determining factor for activation of the decompositional route.												47	54											MAR	2003	29	2					277	288		10.1037/0278-7393.29.2.277	http://dx.doi.org/10.1037/0278-7393.29.2.277												2026-01-16	WOS:000181875500009
J	Xie, DY; Chen, H; Li, B				Xie, Dongyue; Chen, Hua; Li, Bin			Chunks, pauses, and holistic processing in Mandarin spontaneous speech	FRONTIERS IN PSYCHOLOGY				Article								Chunks are multiword sequences with independent meaning and function, or formulaic based on the intuition of native speakers, hypothesized to be holistically restored and retrieved in the mental lexicon. Previous studies suggest that pauses and intonational boundaries tend to occur at the boundaries of chunks, but less discussion was made on the influence of chunk categories over mental processing and on pause placement associated with intonational continuity. This study adopted spontaneous monologs of Mandarin natives in formal and informal settings. It examined the co-occurrence of chunks and pause-defined processing units and pause placement around chunks to explore to what extent chunks are holistically processed. The results showed that Mandarin chunks were likely to be situated within a single processing unit, indicating chunks as smaller units than processing units in spontaneous speech. Major chunk categories exhibited significantly different patterns in co-occurring with processing units, indicating the influence of chunk properties on the mental processing of chunks. In addition, chunks tended to be fluently processed in spontaneous speech production as fewer hesitations occurred before and during chunk production. Major chunk categories shared a similar threshold in encountering hesitations before chunk production and differed significantly in hesitation distribution during chunk production. Hesitations in the middle of chunks were more likely to be situated within intonation units compared to those before chunk production. Speakers' effort to maintain the intonational continuity of chunks when they encounter processing difficulties reveals the mental reality of the holistic nature of chunks. Furthermore, the co-occurrence of chunks and processing units differed significantly between the formal and informal speech genres, indicating genre influence on the mental processing of chunks. Altogether, the findings of this study have provided implications for theories on chunks and the syntactic-prosody interface and contributed to implications for the design of Mandarin instructions and teaching.												0	0											FEB 16	2023	14								1071729	10.3389/fpsyg.2023.1071729	http://dx.doi.org/10.3389/fpsyg.2023.1071729												2026-01-16	WOS:000953435000001
