PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Chien, PJ; Friederici, AD; Hartwigsen, G; Sammler, D				Chien, Pei-Ju; Friederici, Angela D.; Hartwigsen, Gesa; Sammler, Daniela			Intonation processing increases task-specific fronto-temporal connectivity in tonal language speakers	HUMAN BRAIN MAPPING				Article								Language comprehension depends on tight functional interactions between distributed brain regions. While these interactions are established for semantic and syntactic processes, the functional network of speech intonation - the linguistic variation of pitch - has been scarcely defined. Particularly little is known about intonation in tonal languages, in which pitch not only serves intonation but also expresses meaning via lexical tones. The present study used psychophysiological interaction analyses of functional magnetic resonance imaging data to characterise the neural networks underlying intonation and tone processing in native Mandarin Chinese speakers. Participants categorised either intonation or tone of monosyllabic Mandarin words that gradually varied between statement and question and between Tone 2 and Tone 4. Intonation processing induced bilateral fronto-temporal activity and increased functional connectivity between left inferior frontal gyrus and bilateral temporal regions, likely linking auditory perception and labelling of intonation categories in a phonological network. Tone processing induced bilateral temporal activity, associated with the auditory representation of tonal (phonemic) categories. Together, the present data demonstrate the breadth of the functional intonation network in a tonal language including higher-level phonological processes in addition to auditory representations common to both intonation and tone.												10	11											JAN	2021	42	1					161	174		10.1002/hbm.25214	http://dx.doi.org/10.1002/hbm.25214		SEP 2020										2026-01-16	WOS:000573645300001
J	Tang, C; Hamilton, LS; Chang, EF				Tang, C.; Hamilton, L. S.; Chang, E. F.			Intonational speech prosody encoding in the human auditory cortex	SCIENCE				Article								Speakers of all human languages regularly use intonational pitch to convey linguistic meaning, such as to emphasize a particular word. Listeners extract pitch movements from speech and evaluate the shape of intonation contours independent of each speaker's pitch range. We used high-density electrocorticography to record neural population activity directly from the brain surface while participants listened to sentences that varied in intonational pitch contour, phonetic content, and speaker. Cortical activity at single electrodes over the human superior temporal gyrus selectively represented intonation contours. These electrodes were intermixed with, yet functionally distinct from, sites that encoded different information about phonetic features or speaker identity. Furthermore, the representation of intonation contours directly reflected the encoding of speaker-normalized relative pitch but not absolute pitch.												92	104											AUG 25	2017	357	6353					797	801		10.1126/science.aam8577	http://dx.doi.org/10.1126/science.aam8577												2026-01-16	WOS:000408327900042
J	Col, G				Col, Gilles			Prosody and emergence of the senses: propositions for a cognitive study of intonation	CANADIAN JOURNAL OF LINGUISTICS-REVUE CANADIENNE DE LINGUISTIQUE				Article								This paper aims at giving English intonation a driving role in the building and the emergence of meaning. It presents four propositions, going from the perception of intonation to its role in the representation of meaning. First, the concept of intonational form, based on the gestalt model of good form, is introduced. Second, the fundamental characteristic of intonational form is its dynamic nature. Third, intonation is positioned in the semantic layer, and is on par with the other linguistic components (syntax, lexicon, grammar). Finally, it is the evolution of the verbal scene that gives intonation its fundamental role.												0	0											NOV	2007	52	3					255	+		10.1353/cjl.2008.0025	http://dx.doi.org/10.1353/cjl.2008.0025												2026-01-16	WOS:000253955100002
J	Reichel, UD				Reichel, Uwe D.			Linking bottom-up intonation stylization to discourse structure	COMPUTER SPEECH AND LANGUAGE				Article								A new approach for intonation stylization that enables the extraction of an intonation representation from prosodically unlabeled data is introduced. This approach yields global and local intonation contour classes arising from a contour-based, parametric and superpositional intonation stylization. Based on findings about the linguistic interpretation of the contour classes derived from corpus statistics and perception experiments, we created simple prediction models for the partial generation of intonation contours from discourse structure defined by discourse segment boundaries and the information status of nouns within these segments. The predicted intonation contours were evaluated by human judgments of adequacy that yielded a high accordance. (C) 2014 Elsevier Ltd. All rights reserved.												8	8											NOV	2014	28	6					1340	1365		10.1016/j.csl.2014.03.005	http://dx.doi.org/10.1016/j.csl.2014.03.005												2026-01-16	WOS:000340850000006
J	Gussenhoven, C; Van der Vliet, P				Gussenhoven, C; Van der Vliet, P			The phonology of tone and intonation in the Dutch dialect of Venlo	JOURNAL OF LINGUISTICS				Article; Proceedings Paper	17th DGfS Meeting	MAR, 1995	GOTTINGEN, GERMANY					The Dutch dialect of Venlo has a lexical tone opposition comparable to the distinction between Accent I and Accent II in Scandinavian. The two word tone patterns are realised in a variety of different ways, depending on the intonation contour, on whether the word has a focus tone, and on whether it occurs finally or nonfinally in the intonational phrase (IP). Twelve such contexts are identified, and an autosegmental-metrical analysis is presented of the contours for the word tones in each of these. The analysis is instructive because of its clear illustration of the distinction between the phonological underlying representation and the phonological surface representation, as well as of the distinction between the latter representation and the phonetic realisation. In addition, because of the complexity of its tonal phonology, the dialect is of considerable typological interest for the study of word prosody and intonation.												43	47											MAR	1999	35	1					99	135		10.1017/S0022226798007324	http://dx.doi.org/10.1017/S0022226798007324												2026-01-16	WOS:000080648200004
J	Prieto, P; Esteve-Gibert, N; Shattuck-Hufnagel, S				Prieto, Pilar; Esteve-Gibert, Nuria; Shattuck-Hufnagel, Stefanie			Towards a novel conceptualization of prosody that accounts for spoken and visual signals	GESTURE				Article								Prosody influences speech organization by signaling phrasal prominence, grouping patterns, and speakers' pragmatic intentions. While traditionally viewed as restricted to speech, research shows prosody is also conveyed visually. This article reviews research showing strong parallels between spoken prosody and co-speech gestures in prominence marking, grouping phrasal structures, and signaling pragmatic intent. We extend this discussion and propose a modality-neutral prosodic framework hypothesis comprising three propositions: (a) prosody should be viewed as a modality-neutral grammar component that operates as an abstract level of representation while adapting to different sensory channels and language modalities; (b) in spoken languages, prosody is implemented flexibly through two distinct channels, spoken and gestural, which enable to mark prominence, grouping and meaning in a multimodal way; (c) parallel implementations are found in the way prosody is manifested in spoken and sign languages. A modality-neutral view of prosody will enrich current formal and developmental theories of language.												2	2											DEC 31	2024	23	1-2					119	159		10.1075/gest.25012.pri	http://dx.doi.org/10.1075/gest.25012.pri		JUL 2025										2026-01-16	WOS:001529840300001
J	Inspector, M; Manor, D; Amir, N; Kushnir, T; Karni, A				Inspector, Michael; Manor, David; Amir, Noam; Kushnir, Tamar; Karni, Avi			A Word by Any Other Intonation: FMRI Evidence for Implicit Memory Traces for Pitch Contours of Spoken Words in Adult Brains	PLOS ONE				Article								Objectives: Intonation may serve as a cue for facilitated recognition and processing of spoken words and it has been suggested that the pitch contour of spoken words is implicitly remembered. Thus, using the repetition suppression (RS) effect of BOLD-fMRI signals, we tested whether the same spoken words are differentially processed in language and auditory brain areas depending on whether or not they retain an arbitrary intonation pattern. Experimental design: Words were presented repeatedly in three blocks for passive and active listening tasks. There were three prosodic conditions in each of which a different set of words was used and specific task-irrelevant intonation changes were applied: (i) All words presented in a set flat monotonous pitch contour (ii) Each word had an arbitrary pitch contour that was set throughout the three repetitions. (iii) Each word had a different arbitrary pitch contour in each of its repetition. Principal findings: The repeated presentations of words with a set pitch contour, resulted in robust behavioral priming effects as well as in significant RS of the BOLD signals in primary auditory cortex (BA 41), temporal areas (BA 21 22) bilaterally and in Broca's area. However, changing the intonation of the same words on each successive repetition resulted in reduced behavioral priming and the abolition of RS effects. Conclusions: Intonation patterns are retained in memory even when the intonation is task-irrelevant. Implicit memory traces for the pitch contour of spoken words were reflected in facilitated neuronal processing in auditory and language associated areas. Thus, the results lend support for the notion that prosody and specifically pitch contour is strongly associated with the memory representation of spoken words.												6	6											DEC 31	2013	8	12							e82042	10.1371/journal.pone.0082042	http://dx.doi.org/10.1371/journal.pone.0082042												2026-01-16	WOS:000329325200010
J	Upegui, EPV				Velasquez Upegui, Eva Patricia			THE INTONATION OF TRANSACTIONAL INTERROGATIVE SENTENCES IN THE SPANISH SPOKEN IN COLOMBIA	FORMA Y FUNCION				Article								The article presents the description and analysis of the intonation of different transactional interrogative sentences, that is, those aimed at the exchange of information. The data analyzed corresponds to the Spanish spoken in Colombia, specifically in four cities: Bogota, Cali, Medellin and Cartagena. The sp-tobi transcription system was used for the prosodic representation, within the theoretical-methodological framework of the autosegmental metric model (MA). Overall, two prosodic configurations were found to be associated to dialectal groups: L+H* L% in Medellin and H+L* HH% in Bogota and Cali; Cartagena presents both configurations in the nuclear tone.												0	0											JUL-DEC	2014	27	2					207	246		10.15446/fyf.v27n2.47672	http://dx.doi.org/10.15446/fyf.v27n2.47672												2026-01-16	WOS:000434568100008
J	Nagy, P; Németh, G				Nagy, Peter; Nemeth, Geza			Improving HMM speech synthesis of interrogative sentences by pitch track transformations	SPEECH COMMUNICATION				Article								Modeling interrogative sentence prosody is a challenging task due to the significant variation of questions. Prosody is produced by intonation, intensity and duration features. Intonation clearly identifies the type of question in most European languages. If only limited training data is available from certain sentence types, synthetic intonation often lacks accuracy, richness and detail due to averaging, inherent in statistical approaches. In this paper, we discuss two rule-based solutions to improve intonation of interrogative sentences. The first approach utilizes a pitch prediction algorithm where a rule-set forms the pitch pattern. The output pattern is combined with an HMM generated F-0 contour and the resulting pattern is used for speech synthesis. Our second solution uses key points to define a scaling function. The position of the key points is described by a rule-set, and the value at intermediate points is calculated in training time in a data-driven way in order to maintain the characteristics of the speakers' voice. The proposed two hybrid rule-based-HMM systems were evaluated by speech experts and by perceptual tests. Our evaluation shows that both approaches could significantly improve the prosodic representation of questions in our framework without deteriorating the perceived naturalness of synthetic speech. The pitch contours generated by the systems were compared and evaluated according to how well they could reproduce the unique characteristics of different Hungarian interrogative sentence types. The analysis shows that both of the methods could successfully model the required patterns. In a separate perception test the interrogative prosody identification rate of the solutions was also measured. The results demonstrate that applying our proposed methods the identification rate of questions could be improved significantly. Although our work focuses on our mother tongue-Hungarian- the methodology can be extended to other languages. (C) 2016 Elsevier B.V. All rights reserved.												3	4											SEP	2016	82						97	112		10.1016/j.specom.2016.06.005	http://dx.doi.org/10.1016/j.specom.2016.06.005												2026-01-16	WOS:000381951700008
S	Byrd, D; Krivokapic, J		Liberman, MY; Partee, BH		Byrd, Dani; Krivokapic, Jelena			Cracking Prosody in Articulatory Phonology	ANNUAL REVIEW OF LINGUISTICS, VOL 7	Annual Review of Linguistics			Article; Book Chapter								Articulatory Phonology advances an account of phonological structure in which dynamically defined vocal tract tasks-gestures-are simultaneously and isomorphically units of cognitive representation and units of physical action. This paradigm has fundamentally altered our understanding of the linguistic representation of words. This article reviews the relatively recent incorporation of prosody into Articulatory Phonology. A capsule review of the Articulatory Phonology theoretical framework is presented, and the notions of phrasal and prominence organization are introduced as the key aspects of linguistic prosodic structure under consideration. Parameter dynamics, activation dynamics, and prosodic modulation gestures, such as the p-gesture, are outlined. The review is extended to touch on rhythm, intonation, and pauses and to consider innovations for integrating multiple aspects of prosodic structure under this dynamical approach. Finally, a range of questions emerges, crystallizing outstanding issues ranging from the abstract and theoretical to the interactive and functional.												22	27												2021	7						31	53		10.1146/annurev-linguistics-030920-050033	http://dx.doi.org/10.1146/annurev-linguistics-030920-050033												2026-01-16	WOS:000614614700004
