PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Kim, SK; Sumner, M				Kim, Seung Kyung; Sumner, Meghan			Beyond lexical meaning: The effect of emotional prosody on spoken word recognition	JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA				Article								This study employs an auditory-visual associative priming paradigm to test whether non-emotional words uttered in emotional prosody (e.g., pineapple spoken in angry prosody or happy prosody) facilitate recognition of semantically emotional words (e.g., mad, upset or smile, joy). The results show an affective priming effect between emotional prosody and emotional words independent of lexical carriers of the prosody. Learned acoustic patterns in speech (e.g., emotional prosody) map directly to social concepts and representations, and this social information influences the spoken word recognition process. (C) 2017 Acoustical Society of America												12	19											JUL	2017	142	1					EL49	EL55		10.1121/1.4991328	http://dx.doi.org/10.1121/1.4991328												2026-01-16	WOS:000405656700009
J	Lindfield, KC; Wingfield, A; Goodglass, H				Lindfield, KC; Wingfield, A; Goodglass, H			The contribution of prosody to spoken word recognition	APPLIED PSYCHOLINGUISTICS				Article; Proceedings Paper	1st International Conference on the Mental Lexicon	SEP 03, 1998	UNIV ALBERTA, EDMONTON, CANADA		UNIV ALBERTA			The experiment reported here employed a word-onset gating technique to investigate the role of prosody in word recognition. Subjects were asked to identify words based on word onsets alone, word onsets followed by information about the word duration, or word onsets followed by information about full word prosody (i.e., both duration and stress). Results showed that words were correctly recognized with significantly less segmental onset information when word prosody was available to the subjects. Consistent with this finding, prerecognition error responses reflected correct length and prosody with less onset phonology when prosody information was provided in the stimulus than when only length information was provided. The findings of this experiment confirm the importance of word prosody for spoken word recognition.												20	28											SEP	1999	20	3					395	405		10.1017/S0142716499003045	http://dx.doi.org/10.1017/S0142716499003045												2026-01-16	WOS:000083718100004
J	Lindfield, KC; Wingfield, A; Goodglass, H				Lindfield, KC; Wingfield, A; Goodglass, H			The role of prosody in the mental lexicon	BRAIN AND LANGUAGE				Article; Proceedings Paper	1st International Conference on the Mental Lexicon	SEP 03, 1998	UNIV ALBERTA, EDMONTON, CANADA		UNIV ALBERTA			Current models of spoken word recognition take into account factors such as word frequency, word onset cohort size, and phonological neighborhood density. Using the word onset gating technique we tested word recognition when bandpass filtering was used to allow subjects to hear the full prosodic pattern of a word (number of syllables and syllabic stress), deprived of segmental information beyond that contained in the onset gate. Subjects also heard either word onsets plus duration information or only word onsets. Results suggest that word prosody is represented in the mental lexicon and is effectively used by listeners in spoken word recognition. (C) 1999 Academic Press.												27	34											JUN 1	1999	68	1-2					312	317		10.1006/brln.1999.2094	http://dx.doi.org/10.1006/brln.1999.2094												2026-01-16	WOS:000081530300044
J	Krestar, ML; McLennan, CT				Krestar, Maura L.; McLennan, Conor T.			Examining the effects of variation in emotional tone of voice on spoken word recognition	QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY				Article								Emotional tone of voice (ETV) is essential for optimal verbal communication. Research has found that the impact of variation in nonlinguistic features of speech on spoken word recognition differs according to a time course. In the current study, we investigated whether intratalker variation in ETV follows the same time course in two long-term repetition priming experiments. We found that intratalker variability in ETVs affected reaction times to spoken words only when processing was relatively slow and difficult, not when processing was relatively fast and easy. These results provide evidence for the use of both abstract and episodic lexical representations for processing within-talker variability in ETV, depending on the time course of spoken word recognition.												8	13											SEP 1	2013	66	9					1793	1802		10.1080/17470218.2013.766897	http://dx.doi.org/10.1080/17470218.2013.766897												2026-01-16	WOS:000324002200009
J	Jesse, A; McQueen, JM				Jesse, Alexandra; McQueen, James M.			Suprasegmental lexical stress cues in visual speech can guide spoken-word recognition	QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY				Article								Visual cues to the individual segments of speech and to sentence prosody guide speech recognition. The present study tested whether visual suprasegmental cues to the stress patterns of words can also constrain recognition. Dutch listeners use acoustic suprasegmental cues to lexical stress (changes in duration, amplitude, and pitch) in spoken-word recognition. We asked here whether they can also use visual suprasegmental cues. In two categorization experiments, Dutch participants saw a speaker say fragments of word pairs that were segmentally identical but differed in their stress realization (e.g., 'ca-vi from cavia guinea pig vs. ?ka-vi from kaviaar caviar). Participants were able to distinguish between these pairs from seeing a speaker alone. Only the presence of primary stress in the fragment, not its absence, was informative. Participants were able to distinguish visually primary from secondary stress on first syllables, but only when the fragment-bearing target word carried phrase-level emphasis. Furthermore, participants distinguished fragments with primary stress on their second syllable from those with secondary stress on their first syllable (e.g., pro-'jec from projector projector vs. ?pro-jec from projectiel projectile), independently of phrase-level emphasis. Seeing a speaker thus contributes to spoken-word recognition by providing suprasegmental information about the presence of primary lexical stress.												15	16											APR 3	2014	67	4					793	808		10.1080/17470218.2013.834371	http://dx.doi.org/10.1080/17470218.2013.834371												2026-01-16	WOS:000333989300011
J	Malins, JG; Joanisse, MF				Malins, Jeffrey G.; Joanisse, Marc F.			The roles of tonal and segmental information in Mandarin spoken word recognition: An eyetracking study	JOURNAL OF MEMORY AND LANGUAGE				Article								We used eyetracking to examine how tonal versus segmental information influence spoken word recognition in Mandarin Chinese. Participants heard an auditory word and were required to identify its corresponding picture from an array that included the target item (chuang2 'bed'), a phonological competitor (segmental: chuang1 'window'; cohort: chuan2 'ship'; rhyme: huang2 'yellow': tonal: niu2 'cow'), and two phonologically unrelated distractors. Growth curve analysis was used to characterize the trajectory of looks to target and competitor items during word processing. We found similar model fits for the segmental and cohort conditions characterized by slower eye movements to correct targets compared to baseline, suggesting that tonal and segmental information are accessed concurrently and play comparable roles in constraining activation. These findings are discussed with respect to current models of spoken word recognition that have not previously accounted for the role of tone. (C) 2010 Elsevier Inc. All rights reserved.												93	106											MAY	2010	62	4					407	420		10.1016/j.jml.2010.02.004	http://dx.doi.org/10.1016/j.jml.2010.02.004												2026-01-16	WOS:000277482100005
J	Katsuda, H; Steffman, J				Katsuda, Hironori; Steffman, Jeremy			Asymmetrical roles of segment and pitch accent in Japanese spoken word recognition	JASA EXPRESS LETTERS				Article								This study examines the roles of segment and pitch accent in Japanese spoken word recognition. In a lexical decision task, it replicates the finding of Cutler and Otake [(1999) J. Acoust. Soc. Am. 105(3), 1877-1888] that pitch accent restricts word activation with a more comprehensive, rigorous experimental design. Furthermore, results uncover an asymmetrical role of segment and pitch accent in word recognition in Japanese: words primed by a pitch accent-matching prime are recognized more slowly and less accurately than words primed by a segment-matching prime.												0	0											JUN	2022	2	6							065201	10.1121/10.0011573	http://dx.doi.org/10.1121/10.0011573												2026-01-16	WOS:000806494500002
J	Brown, M; Salverda, AP; Dilley, LC; Tanenhaus, MK				Brown, Meredith; Salverda, Anne Pier; Dilley, Laura C.; Tanenhaus, Michael K.			Expectations from preceding prosody influence segmentation in online sentence processing	PSYCHONOMIC BULLETIN & REVIEW				Article								Previous work examining prosodic cues in online spoken-word recognition has focused primarily on local cues to word identity. However, recent studies have suggested that utterance-level prosodic patterns can also influence the interpretation of subsequent sequences of lexically ambiguous syllables (Dilley, Mattys, & Vinke, Journal of Memory and Language, 63:274-294, 2010; Dilley & McAuley, Journal of Memory and Language, 59:294-311, 2008). To test the hypothesis that these distal prosody effects are based on expectations about the organization of upcoming material, we conducted a visual-world experiment. We examined fixations to competing alternatives such as pan and panda upon hearing the target word panda in utterances in which the acoustic properties of the preceding sentence material had been manipulated. The proportions of fixations to the monosyllabic competitor were higher beginning 200 ms after target word onset when the preceding prosody supported a prosodic constituent boundary following pan-, rather than following panda. These findings support the hypothesis that expectations based on perceived prosodic patterns in the distal context influence lexical segmentation and word recognition.												62	79											DEC	2011	18	6					1189	1196		10.3758/s13423-011-0167-9	http://dx.doi.org/10.3758/s13423-011-0167-9												2026-01-16	WOS:000297227500022
J	Kaplan, EC; Baskent, D; Wagner, AE				Kaplan, Elif Canseza; Baskent, Deniz; Wagner, Anita Eva			Musical Abilities Influence the Use of Durational Prosodic Cues in Spoken Word Recognition	JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION				Article; Early Access								Prosody plays a fundamental role in both speech and music. In spoken language, word-level local prosodic cues, such as segment duration, contribute to word recognition. This study investigated whether individual differences in musical abilities are associated with the utilization of prosodic cues during spoken word recognition, both in speech-in-quiet and speech-on-speech conditions (i.e., in the presence of competing talkers). Using the visual world paradigm, we measured listeners' gaze fixations and pupil dilations toward images depicting a referent (e.g., hamster) and a competitor word (e.g., ham), while they simultaneously listened to utterances containing the referent word, whose segment duration either matched or mismatched the referent, with the mismatched duration signaling the competitor word. Participants with varying musical backgrounds completed tasks assessing rhythmic and melodic abilities, and a questionnaire evaluating overall musical sophistication. Our results revealed that listeners with higher scores across the three measures exhibited greater sensitivity to durational cues, as indicated by increased fixations to the competitor and greater pupil dilation when the durational cue mismatched the referent word, both in speech-in-quiet and speech-on-speech. These findings highlight that individual differences in musical abilities are associated with the use of prosodic cues during spoken word recognition.												0	0											2025 NOV 10	2025										10.1037/xlm0001517	http://dx.doi.org/10.1037/xlm0001517		NOV 2025										2026-01-16	WOS:001610917600001
J	Reinisch, E; Jesse, A; McQueen, JM				Reinisch, Eva; Jesse, Alexandra; McQueen, James M.			Early use of phonetic information in spoken word recognition: Lexical stress drives eye movements immediately	QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY				Article								For optimal word recognition listeners should use all relevant acoustic information as soon as it comes available. Using printed-word eye tracking we investigated when during word processing Dutch listeners use suprasegmental lexical stress information to recognize words. Fixations on targets such as oOCtopuso (capitals indicate stress) were more frequent than fixations on segmentally overlapping but differently stressed competitors (ookTObero) before segmental information could disambiguate the words. Furthermore, prior to segmental disambiguation, initially stressed words were stronger lexical competitors than noninitially stressed words. Listeners recognize words by immediately using all relevant information in the speech signal.												57	64												2010	63	4					772	783	PII 913995598	10.1080/17470210903104412	http://dx.doi.org/10.1080/17470210903104412												2026-01-16	WOS:000275845300013
