PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Lu, HP; Lin, CS; Wu, CM; Peng, SC; Feng, IJ; Lin, YS				Lu, Hui-Ping; Lin, Chih-Shin; Wu, Che-Ming; Peng, Shu-Chen; Feng, I. Jung; Lin, Yung-Song			The effect of lexical tone experience on English intonation perception in Mandarin-speaking cochlear-implanted children	MEDICINE				Article								To examine the effect of lexical tone experience on English intonation perception in Mandarin-speaking cochlear-implanted children during second language acquisition in Taiwan. A retrospective cohort study. A tertiary referred center. Fourteen children with cochlear implant (CI) in the experimental group, and 9 normal hearing children in the control group were enrolled in this study. Cochlear implantation and hearing rehabilitation. Two speech recognition accuracies were examined: (1) Lexical tone recognition (4-alternative forced choice, AFC), (2) English Sentence Intonation (2AFC). The overall accuracies for tone perception are 61.13% (standard deviation, SD = 10.84%) for CI group and 93.82% (SD = 1.80%) for normal hearing group. Tone 4 and Tone 1 were more easily to be recognized than tone 2 and tone 3 in the pediatric CI recipients (cCI) group. In English intonation perception, the overall accuracies are 61.82% (SD = 16.85%) for CI group, and 97.59% (SD = 4.73%) for normal hearing group. Significant high correlation (R = .919, P <= .000) between lexical tone perception and English intonation perception is noted. There is no significant difference for English intonation perception accuracies between Mandarin-speaking cCI (61.82%) and English-speaking cCI (70.13%, P = .11). Mandarin-speaking cochlear-implanted children showed significant deficits in perception of lexical tone and English intonation relative to normal hearing children. There was no tonal language benefit in Mandarin-speaking cochlear-implanted children's English intonation perception, compared to the English-speaking cochlear-implanted peers. For cochlear-implanted children, better lexical tone perception comes with better English intonation perception. Enhancing Mandarin prosodic perception for cochlear-implanted children may benefit their command of intonation in English.												2	2											JUL 15	2022	101	28							e29567	10.1097/MD.0000000000029567	http://dx.doi.org/10.1097/MD.0000000000029567												2026-01-16	WOS:000825571400034
J	Morett, LM				Morett, Laura M.			The Influence of Tonal and Atonal Bilingualism on Children's Lexical and Non-Lexical Tone Perception	LANGUAGE AND SPEECH				Article								This study examined how bilingualism in an atonal language, in addition to a tonal language, influences lexical and non-lexical tone perception and word learning during childhood. Forty children aged 5;3-7;2, bilingual either in English and Mandarin or English and another atonal language, were tested on Mandarin lexical tone discrimination, level-pitch sine-wave tone discrimination, and learning of novel words differing minimally in Mandarin lexical tone. Mandarin-English bilingual children discriminated between and learned novel words differing minimally in Mandarin lexical tone more accurately than their atonal-English bilingual peers. However, Mandarin-English and atonal-English bilingual children discriminated between level-pitch sine-wave tones with similar accuracy. Moreover, atonal-English bilingual children showed a tendency to perceive differing Mandarin lexical and level-pitch sine-wave tones as identical, whereas their Mandarin-English peers showed no such tendency. These results indicate that bilingualism in a tonal language in addition to an atonal language-but not bilingualism in two atonal languages-allows for continued sensitivity to lexical tone beyond infancy. Moreover, they suggest that although tonal-atonal bilingualism does not enhance sensitivity to differences in pitch between sine-wave tones beyond infancy any more effectively than atonal-atonal bilingualism, it protects against the development of biases to perceive differing lexical and non-lexical tones as identical. Together, the results indicate that, beyond infancy, tonal-atonal bilinguals process lexical tones using different cognitive mechanisms than atonal-atonal bilinguals, but that both groups process level-pitch non-lexical tone using the same cognitive mechanisms.												7	8											JUN	2020	63	2					221	241		10.1177/0023830919834679	http://dx.doi.org/10.1177/0023830919834679												2026-01-16	WOS:000537760600002
J	Ren, GQ; Yang, Y; Li, X				Ren, G. -Q.; Yang, Y.; Li, X.			EARLY CORTICAL PROCESSING OF LINGUISTIC PITCH PATTERNS AS REVEALED BY THE MISMATCH NEGATIVITY	NEUROSCIENCE				Article								Previous brain imaging studies have shown the left hemispheric dominance for processing of lexical tone in native speakers. However, the low temporal resolution related to neuroimaging techniques might not explicitly detect the brain activities that occur at a relatively small or a determined time frame. We used the mismatch negativity (MMN) and a source estimation technique (low-resolution electromagnetic tomography [LORETA]) to probe the brain activities underlying the early pre-attentive processing of Mandarin lexical tone and intonation. A passive oddball paradigm was applied to present tone and intonation contrast in a speech and nonspeech context. The results showed that no difference of the MMN amplitudes existed between speech and nonspeech conditions, although a larger MMN was found for tone than intonation condition. Source localization of the MMNs for all of the conditions showed the right hemispheric dominance, regardless of their linguistic functions (tone vs. intonation) or speech context (speech vs. nonspeech). Interestingly, the MMN generator for normal tone and hummed tone originated from the same cortical area (right parietal lobe, BA 19). These findings suggest that the pre-attentive cortical processing can be modulated not only by speech stimuli, but also by their nonspeech hums. Our data are compatible with the acoustic hypothesis of speech processing. Crown Copyright (C) 2009 Published by Elsevier Ltd on behalf of IBRO. All rights reserved.												46	61											AUG 4	2009	162	1					87	95		10.1016/j.neuroscience.2009.04.021	http://dx.doi.org/10.1016/j.neuroscience.2009.04.021												2026-01-16	WOS:000267200300010
J	Liu, F; Chan, AHD; Ciocca, V; Roquet, C; Peretz, I; Wong, PCM				Liu, Fang; Chan, Alice H. D.; Ciocca, Valter; Roquet, Catherine; Peretz, Isabelle; Wong, Patrick C. M.			Pitch perception and production in congenital amusia: Evidence from Cantonese speakers	JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA				Article								This study investigated pitch perception and production in speech and music in individuals with congenital amusia (a disorder of musical pitch processing) who are native speakers of Cantonese, a tone language with a highly complex tonal system. Sixteen Cantonese-speaking congenital amusics and 16 controls performed a set of lexical tone perception, production, singing, and psychophysical pitch threshold tasks. Their tone production accuracy and singing proficiency were subsequently judged by independent listeners, and subjected to acoustic analyses. Relative to controls, amusics showed impaired discrimination of lexical tones in both speech and non-speech conditions. They also received lower ratings for singing proficiency, producing larger pitch interval deviations and making more pitch interval errors compared to controls. Demonstrating higher pitch direction identification thresholds than controls for both speech syllables and piano tones, amusics nevertheless produced native lexical tones with comparable pitch trajectories and intelligibility as controls. Significant correlations were found between pitch threshold and lexical tone perception, music perception and production, but not between lexical tone perception and production for amusics. These findings provide further evidence that congenital amusia is a domain-general language-independent pitch-processing deficit that is associated with severely impaired music perception and production, mildly impaired speech perception, and largely intact speech production. (C) 2016 Acoustical Society of America.												26	29											JUL	2016	140	1					563	575		10.1121/1.4955182	http://dx.doi.org/10.1121/1.4955182												2026-01-16	WOS:000382406500075
J	Tao, DD; Deng, R; Jiang, Y; Galvin, JJ; Fu, QJ; Chen, B				Tao, Duoduo; Deng, Rui; Jiang, Ye; Galvin, John J., III; Fu, Qian-Jie; Chen, Bing			Melodic Pitch Perception and Lexical Tone Perception in Mandarin-Speaking Cochlear Implant Users	EAR AND HEARING				Article								Objectives: To examine the relationship between lexical tone perception and melodic pitch perception in Mandarin-speaking cochlear implant (CI) users and to investigate the influence of previous acoustic hearing on CI users' speech and music perception. Design: Lexical tone perception and melodic contour identification (MCI) were measured in 21 prelingual and 11 postlingual young (aged 6-26 years) Mandarin-speaking CI users. Lexical tone recognition was measured for four tonal patterns: tone 1 (flat F0), tone 2 (rising F0), tone 3 (falling-rising F0), and tone 4 (falling F0). MCI was measured using nine five-note melodic patterns that contained changes in pitch contour, as well as different semitone spacing between notes. Results: Lexical tone recognition was generally good (overall mean = 81% correct), and there was no significant difference between subject groups. MCI performance was generally poor (mean = 23% correct). MCI performance was significantly better for postlingual (mean = 32% correct) than for prelingual CI participants (mean = 18% correct). After correcting for outliers, there was no significant correlation between lexical tone recognition and MCI performance for prelingual or postlingual CI participants. Age at deafness was significantly correlated with MCI performance only for postlingual participants. CI experience was significantly correlated with MCI performance for both prelingual and postlingual participants. Duration of deafness was significantly correlated with tone recognition only for prelingual participants. Conclusions: Despite the prevalence of pitch cues in Mandarin, the present CI participants had great difficulty perceiving melodic pitch. The availability of amplitude and duration cues in lexical tones most likely compensated for the poor pitch perception observed with these CI listeners. Previous acoustic hearing experience seemed to benefit postlingual CI users' melodic pitch perception. Longer CI experience was associated with better MCI performance for both subject groups, suggesting that CI users' music perception may improve as they gain experience with their device.												38	51											JAN	2015	36	1					102	110		10.1097/AUD.0000000000000086	http://dx.doi.org/10.1097/AUD.0000000000000086												2026-01-16	WOS:000346911200011
J	Nan, Y; Huang, WT; Wang, WJ; Liu, C; Dong, Q				Nan, Yun; Huang, Wan-ting; Wang, Wen-jing; Liu, Chang; Dong, Qi			Subgroup differences in the lexical tone mismatch negativity (MMN) among Mandarin speakers with congenital amusia	BIOLOGICAL PSYCHOLOGY				Article								The association/dissociation of pitch processing between music and language is a long lasting debate. We examined this music-language relationship by investigating to what extent pitch deficits in these two domains were dissociable. We focused on a special neurodevelopmental pitch disorder congenital amusia, which primarily affects musical pitch processing. Recent research has also revealed lexical tone deficits in speech among amusics. Approximately one-third of Mandarin amusics exhibits behavioural difficulties in lexical tone perception, which is known as tone agnosia. Using mismatch negativities (MMNs), our current work probed lexical tone encoding at the pre-attentive level among the Mandarin amusics with (tone agnosics) and without (pure amusics) behavioural lexical tone deficits compared with age- and IQ-matched controls. Relative to the controls and the pure amusics, the tone agnosics exhibited reduced MMNs specifically in response to lexical tone changes. Their tone-consonant MMNs were intact and similar to those of the other two groups. Moreover, the tone MMN reduction over the left hemisphere was tightly linked to behavioural insensitivity to lexical tone changes. The current study thus provides the first psychophysiological evidence of subgroup differences in lexical tone processing among Mandarin amusics and links amusics' behavioural tone deficits to impaired pre-attentive tone processing. Despite the overall music pitch deficits, the subgroup differences in lexical tone processing in Mandarin-speaking amusics suggest dissociation of pitch deficits between music and speech. (C) 2015 Elsevier B.V. All rights reserved.												19	21											JAN	2016	113						59	67		10.1016/j.biopsycho.2015.11.010	http://dx.doi.org/10.1016/j.biopsycho.2015.11.010												2026-01-16	WOS:000366757000007
J	Tang, LR; Xu, YXX; Yang, ST; Meng, XY; Du, BQ; Sun, C; Liu, L; Dong, Q; Nan, Y				Tang, Lirong; Xu, Yangxiaoxue; Yang, Shiting; Meng, Xiangyun; Du, Boqi; Sun, Chen; Liu, Li; Dong, Qi; Nan, Yun			Mandarin-Speaking Amusics' Online Recognition of Tone and Intonation	JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH				Article								Purpose: Congenital amusia is a neurogenetic disorder of musical pitch processing. Its linguistic consequences have been examined separately for speech intonations and lexical tones. However, in a tonal language such as Chinese, the processing of intonations and lexical tones interacts with each other during online speech perception. Whether and how the musical pitch disorder might affect linguistic pitch processing during online speech perception remains unknown. Method: We investigated this question with intonation (question vs. statement) and lexical tone (rising Tone 2 vs. falling Tone 4) identification tasks using the same set of sentences, comparing behavioral and event -related potential measurements between Mandarin -speaking amusics and matched controls. We specifically focused on the amusics without behavioral lexical tone deficits (the majority, i.e., pure amusics). Results: Results showed that, despite relative to normal performance when tested in word lexical tone test, pure amusics demonstrated inferior recognition than controls during sentence tone and intonation identification. Compared to controls, pure amusics had larger N400 amplitudes in question stimuli during tone task and smaller P600 amplitudes in intonation task. Conclusion: These data indicate that musical pitch disorder affects both tone and intonation processing during sentence processing even for pure amusics, whose lexical tone processing was intact when tested with words.												0	0											APR	2024	67	4					1107	1116		10.1044/2024_JSLHR-23-00520	http://dx.doi.org/10.1044/2024_JSLHR-23-00520												2026-01-16	WOS:001244512900006
J	Kung, C; Chwilla, DJ; Schriefers, H				Kung, Carmen; Chwilla, Dorothee J.; Schriefers, Herbert			The interaction of lexical tone, intonation and semantic context in on-line spoken word recognition: An ERP study on Cantonese Chinese	NEUROPSYCHOLOGIA				Article								In two ERP experiments, we investigate the on-line interplay of lexical tone, intonation and semantic context during spoken word recognition in Cantonese Chinese. Experiment 1 shows that lexical tone and intonation interact immediately. Words with a low lexical tone at the end of questions (with a rising question intonation) lead to a processing conflict. This is reflected in a low accuracy in lexical identification and in a P600 effect compared to the same words at the end of a statement. Experiment 2 shows that a strongly biasing semantic context leads to much better lexical-identification performance for words with a low tone at the end of questions and to a disappearance of the P600 effect. These results support the claim that semantic context plays a major role in disentangling the tonal information from the intonational information, and thus, in resolving the on-line conflict between intonation and tone. However, the ERP data indicate that the introduction of a semantic context does not entirely eliminate on-line processing problems for words at the end of questions. This is revealed by the presence of an N400 effect for words with a low lexical tone and for words with a high-mid lexical tone at the end of questions. The ERP data thus show that, while semantic context helps in the eventual lexical identification, it makes the deviation of the contextually expected lexical tone from the actual acoustic signal more salient. (C) 2013 Elsevier Ltd. All rights reserved.												16	20											JAN	2014	53						293	309		10.1016/j.neuropsychologia.2013.11.020	http://dx.doi.org/10.1016/j.neuropsychologia.2013.11.020												2026-01-16	WOS:000331663100031
J	Ha, KP; Grice, M				Ha, Kieu-Phuong; Grice, Martine			Tone and intonation in discourse management - How do speakers of Standard Vietnamese initiate a repair?	JOURNAL OF PRAGMATICS				Article								This paper investigates the intonation of other-initiation of repair in Standard Vietnamese and provides an analysis of its interaction with lexical tone at the word level. Results from both single-word and multi-word utterances show that speakers make predominant use of a rising pitch contour to mark other-initiation of repair, a contour that has been found in a large number of languages. This rise occurs consistently at the right edge of utterances and may be analysed as a phonetic reflex of a high boundary tone that can overlap, partially or completely, with the lexical tone of an utterance-final word. Further, the study demonstrates the application of talk-in-interaction to the study of the relation between lexical tone and intonation in tone languages. (C) 2016 Elsevier B.V. All rights reserved.												4	4											JAN	2017	107						60	83		10.1016/j.pragma.2016.11.006	http://dx.doi.org/10.1016/j.pragma.2016.11.006												2026-01-16	WOS:000392780900005
J	Yang, WX; Feng, J; Huang, WT; Zhang, CX; Nan, Y				Yang, Wu-xia; Feng, Jie; Huang, Wan-ting; Zhang, Cheng-xiang; Nan, Yun			Perceptual pitch deficits coexist with pitch production difficulties in music but not Mandarin speech	FRONTIERS IN PSYCHOLOGY				Article								Congenital amusia is a musical disorder that mainly affects pitch perception. Among Mandarin speakers, some amusics also have difficulties in processing lexical tones (tone agnosics). To examine to what extent these perceptual deficits may be related to pitch production impairments in music and Mandarin speech, eight amusics, eight tone agnosics, and 12 age- and IQ-matched normal native Mandarin speakers were asked to imitate music note sequences and Mandarin words of comparable lengths. The results indicated that both the amusics and tone agnosics underperformed the controls on musical pitch production. However, tone agnosics performed no worse than the amusics, suggesting that lexical tone perception deficits may not aggravate musical pitch production difficulties. Moreover, these three groups were all able to imitate lexical tones with perfect intelligibility. Taken together, the current study shows that perceptual musical pitch and lexical tone deficits might coexist with musical pitch production difficulties. But at the same time these perceptual pitch deficits might not affect lexical tone production or the intelligibility of the speech words that were produced. The perception-production relationship for pitch among individuals with perceptual pitch deficits may be, therefore, domain-dependent.												18	19											JAN 16	2014	4								1024	10.3389/fpsyg.2013.01024	http://dx.doi.org/10.3389/fpsyg.2013.01024												2026-01-16	WOS:000331262500001
