paper_id,title,abstract,keywords,relevance,relevance_reason,tags,research_question,method,key_claim_about_representation,notes
P0001,INTONATION AND AUDITORY GROUPING IN IMMEDIATE SERIAL-RECALL,"The concept of auditory buffer storage is supported by evidence from studies of dichotic memory and serial recall tasks. Previously reported studies of modality-specific grouping effects can also be accommodated within this theoretical framework, with the effects of stimulus grouping attributed to more effective utilization of the buffer. In this study, the representation of structured sequences in the auditory buffer was further explored in five experiments which investigated the extent to which this system can make use of prosodic cues. Experiment 1 demonstrated that the variations in pitch which constitute the intonation pattern of a natural utterance are extremely effective in enhancing memory performance. Experiment 2 demonstrated that the presence of a strong melodic contour is not a sufficient condition for improvement in recall, even when the melodic structure is both familiar and well-formed. The results of Experiments 3 and 4 suggested that improvements in recall are most likely to occur when abrupt changes in pitch at group boundaries are the most prominent features of the pitch contour. In Experiment 5 the natural pitch contour was simplified to produce a pattern in which the final item in each group was spoken with accented pitch. This structure was found to be as effective as grouping by pauses. These findings are related to perceptual studies of intonation, and implications for theoretical accounts of auditory memory are discussed.",,Maybe,The paper addresses prosody or spoken word recognition in a way potentially transferable to tonal processing.,,,,,
P0002,Disorders of affective and linguistic prosody in children after early unilateral brain damage,"Prosody is that quality of speech that imparts meaning by changes in intonation, pitch, and stress. The right hemisphere (RH) appears to be dominant for affective prosody in adults, while the left hemisphere (LH) mediates the more linguistic aspects of nonverbal communication. Few similar studies have been reported of individuals who suffered early unilateral brain damage, when brain reorganization or plasticity might be expected to play a role in ameliorating the adverse effects of focal brain damage. In this study, comprehension and expression of affective and linguistic prosody were tested in subjects with documented unilateral brain damage of pre- or perinatal onset and in matched controls. Both RH- and LH-lesion groups demonstrated difficulty on tasks involving expression of affective prosody, and on tests of linguistic prosody, compared with controls. Only the RH-lesion group was impaired on an affective comprehension task. The results indicate that even after very early unilateral brain damage, prosodic deficits may be present. However, only for affective comprehension does the side of the lesion appear to determine such deficits. The findings suggest that during brain development there is not clear brain lateralization for prosody and there may be bilateral representation for these skills during early development. There may be limitations to the ability of the developing brain to reorganize after early injury.",,Maybe,The paper addresses prosody or spoken word recognition in a way potentially transferable to tonal processing.,,,,,
P0003,CSLML: a markup language for expressive Chinese sign language synthesis,"This paper presents a Chinese Sign Language Markup Language (CSLML), which is developed for expressive Chinese sign language synthesis by introducing features and structure of sign language prosody. The tags of CSLML are divided into two levels: function level and phonetic level. Function level provides abstract information about signed content and prosody, so it facilitates text annotating for text-driven automatic synthetic system and adapts to diversified synthetic methods, such as motion capture animation or image-based synthesis, Which may not be good at processing lower-level information. Phonetic level provides detailed behavioral manners based on phonetics and phonology to interpret the meaning in function level. It facilitates creation and edit of any motions. The two levels co-exist in CSLML documents and high-level description can be mapped into corresponding low-level behavior to provide one-to-many variability and expression of synthesis. Therefore, We also introduce a framework for this mapping processing mid exhibit results of our animated prototype system based on this framework. Copyright (C) 2009 John Wiley & Sons, Ltd.",,Maybe,The paper addresses prosody or spoken word recognition in a way potentially transferable to tonal processing.,,,,,
P0004,Natural head motion synthesis driven by acoustic prosodic features,"Natural head motion is important to realistic facial animation and engaging human-computer interactions. In this paper, we present a novel data-driven approach to synthesize appropriate head motion by sampling from trained hidden markov models (HMMs). First, while an actress recited a corpus specifically designed to elicit various emotions, her 3D head motion was captured and further processed to construct a head motion database that included synchronized speech information. Then, an HMM for each discrete head motion representation (derived directly from data using vector quantization) was created by using acoustic prosodic features derived from speech. Finally, first-order Markov models and interpolation techniques were used to smooth the synthesized sequence. Our comparison experiments and novel synthesis results show that synthesized head motions follow the temporal dynamic behavior of real human subjects. Copyright (c) 2005 John Wiley & Sons, Ltd.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0005,Prosodic Similarity Effects in Short-Term Memory in Developmental Dyslexia,"Children with developmental dyslexia are characterized by phonological difficulties across languages. Classically, this phonological deficit' in dyslexia has been investigated with tasks using single-syllable words. Recently, however, several studies have demonstrated difficulties in prosodic awareness in dyslexia. Potential prosodic effects in short-term memory have not yet been investigated. Here we create a new instrument based on three-syllable words that vary in stress patterns, to investigate whether prosodic similarity (the same prosodic pattern of stressed and unstressed syllables) exerts systematic effects on short-term memory. We study participants with dyslexia and age-matched and younger reading-level-matched typically developing controls. We find that all participants, including dyslexic participants, show prosodic similarity effects in short-term memory. All participants exhibited better retention of words that differed in prosodic structure, although participants with dyslexia recalled fewer words accurately overall compared to age-matched controls. Individual differences in prosodic memory were predicted by earlier vocabulary abilities, by earlier sensitivity to syllable stress and by earlier phonological awareness. To our knowledge, this is the first demonstration of prosodic similarity effects in short-term memory. The implications of a prosodic similarity effect for theories of lexical representation and of dyslexia are discussed. (c) 2016 The Authors. Dyslexia published by John Wiley & Sons Ltd.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0006,Lower prosodic sensitivity in Chinese children with dyslexia and its impact on Chinese reading,"The current study aims to examine prosodic sensitivity in Chinese children with dyslexia and its relation to Chinese reading in children with and without dyslexia. A total of 172 Chinese children from third grade to sixth grade in Taiwanese primary schools were recruited. Thirty (14 male) children were identified as having dyslexia, and the remaining children (N = 142; 67 male) were typically developing children matched with those with dyslexia as carefully as possible with respect to school, grade, and gender. Our results indicated that group differences were found for all three types of prosodic sensitivity. Moderation analyses showed that group had no significant interaction with prosodic sensitivity in predicting Chinese reading, so the participants in the two groups were combined in the following analyses. The results of the stepwise regression analyses showed that only lexical tone awareness could significantly predict Chinese character reading after controlling for phonological awareness, while only intonation awareness could significantly predict reading comprehension after controlling for Chinese character reading. The results provide preliminary evidence on the issue of prosodic sensitivity in Chinese children with dyslexia and its role in Chinese reading, which might provide a novel approach to the teaching of Chinese languages.",,Yes,The paper investigates lexical tone in relation to intonation or prosodic context.,,,,,
P0007,Lexical prosodic representation and access in Japanese children with developmental dyslexia,"Recent research indicates that awareness of the prosodic information present in spoken language could be an important factor for literacy development, and that adults with developmental dyslexia show impaired awareness of lexical prosodic information, while the phonological representations remain intact. We investigated lexical prosodic representation and awareness in Japanese children with and without developmental dyslexia. Lexical prosodic representation was investigated using a cross-modal fragment priming task, and awareness was examined using a fragment identification task. The task was modified for children by selecting words with higher familiarity and fewer trials. As a result, the same pattern of prosodic priming effects was observed between groups; lexical decision time was faster in the prosodic congruent condition than in the incongruent condition. In addition, accuracy and reaction time did not show group differences in the fragment identification task. Relationship between prosody and literacy development may differ between languages but the sample size were small in both groups. Further investigation with larger sample size is required.",,Maybe,The paper addresses prosody or spoken word recognition in a way potentially transferable to tonal processing.,,,,,
P0008,FMRI reveals brain regions mediating slow prosodic modulations in spoken sentences,"By means of fMRI measurements, the present study identifies brain regions in left and right peri-sylvian areas that subserve grammatical or prosodic processing. Normal volunteers heard 1) normal sentences; 2) so-called syntactic sentences comprising syntactic, but no lexical-semantic information; and 3) manipulated speech signals comprising only prosodic information, i.e., speech melody. For all conditions, significant blood oxygenation signals were recorded from the supratemporal plane bilaterally. Left hemisphere areas that surround Heschl gyrus responded more strongly during the two sentence conditions than to speech melody. This finding suggests that the anterior and posterior portions of the superior temporal region (STR) support lexical-semantic and syntactic aspects of sentence processing. In contrast, the right superior temporal region, in especially the planum temporale, responded more strongly to speech melody. Significant brain activation in the fronto-opercular cortices was observed when participants heard pseudo sentences and was strongest during the speech melody condition. In contrast, the fronto-opercular area is not prominently involved in listening to normal sentences. Thus, the functional activation in fronto-opercular regions increases as the grammatical information available in the sentence decreases. Generally, brain responses to speech melody were stronger in right than left hemisphere sites, suggesting a particular role of right cortical areas in the processing of slow prosodic modulations.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0009,A cross-linguistic fMRI study of perception of intonation and emotion in Chinese,"Conflicting data from neurobehavioral studies of the perception of intonation (linguistic) and emotion (affective) in spoken language highlight the need to further examine how functional attributes of prosodic stimuli are related to hemispheric differences in processing capacity. Because of similarities in their acoustic profiles, intonation and emotion permit us to assess to what extent hemispheric lateralization of speech prosody depends on functional instead of acoustical properties. To examine how the brain processes linguistic and affective prosody, an fMRI study was conducted using Chinese, a tone language in which both intonation and emotion may be signaled prosodically, in addition to lexical tones. Ten Chinese and 10 English subjects were asked to perform discrimination judgments of intonation (1: statement, question) and emotion (E: happy, angry, sad) presented in semantically neutral Chinese sentences. A baseline task required passive listening to the same speech stimuli (S). In direct between-group comparisons, the Chinese group showed left-sided frontoparietal activation for both intonation (I vs. S) and emotion (E vs. S) relative to baseline. When comparing intonation relative to emotion (I vs. E), the Chinese group demonstrated prefrontal activation bilaterally; parietal activation in the left hemisphere only. The reverse comparison (E vs. I), on the other hand, revealed that activation occurred in anterior and posterior prefrontal regions of the right hemisphere only. These findings show that some aspects of perceptual processing of emotion are dissociable from intonation, and, moreover, that they are mediated by the right hemisphere. Hum. Brain Mapping 18:149-157, 2003. (C) 2003 Wiley-Liss, Inc.",,Yes,The paper investigates lexical tone in relation to intonation or prosodic context.,,,,,
P0010,Cerebral mechanisms of prosodic sensory integration using low-frequency bands of connected speech,"Even if speech perception has been reported to involve both left and right hemispheres, converging data have posited the existence of a functional asymmetry at the level of secondary auditory cortices. Using fMRI in 12 right-handed French men listening passively to long connected speech stimuli, we addressed the question of neuronal networks involved in the integration of low frequency bands of speech by comparing 1) differences in brain activity in two listening conditions (IN, NF) differing in the integration of pitch modulations (in FN, low frequencies, obtained by a low-pass filter, are addressed to the left ear while the whole acoustic message is simultaneously addressed to the right ear, NF being the reverse position); 2) differences in brain activity induced by high and low degrees of prosodic expression (expressive vs. flat); and 3) effects of the same connected speech stimulus in the two listening conditions. Each stimulus induced a specific cerebral network, the flat one weakening activations which were mainly reduced to the bilateral STG for both listening conditions. In the expressive condition, the specific sensory integration FN results in an increase of the articulatory loop and new recruitments such as right BA6-44, left BA39-40, the left posterior insula and the bilateral BA30. This finding may be accounted for by the existence of temporal windows differing both in length and in acoustic cues decoding, strengthening the ""asymmetric sampling in time"" hypothesis posited by Poeppel (Speech Commun 2003; 41:245-255). Such an improvement of prosodic integration could find applications in the rehabilitation of some speech disturbances.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0011,Activation of the left planum temporale in pitch processing is shaped by language experience,"Implicit, abstract knowledge acquired through language experience can alter cortical processing of complex auditory signals. To isolate prelexical processing of linguistic tones (i.e., pitch variations that convey part of word meaning), a novel design was used in which hybrid stimuli were created by superimposing Thai tones onto Chinese syllables (tonal chimeras) and Chinese tones onto the same syllables (Chinese words). Native speakers of tone languages (Chinese, Thai) underwent fMRI scans as they judged tones from both stimulus sets. In a comparison of native vs. non-native tones, overlapping activity was identified in the left planum temporale (PT). In this area a double dissociation between language experience and neural representation of pitch occurred such that stronger activity was elicited in response to native as compared to non-native tones. This finding suggests that cortical processing of pitch information can be shaped by language experience and, moreover, that lateratized PT activation can be driven by top-down cognitive processing.",,Maybe,The paper addresses prosody or spoken word recognition in a way potentially transferable to tonal processing.,,,,,
P0012,Neural Signatures of Lexical Tone Reading,"Research on how lexical tone is neuroanatomically represented in the human brain is central to our understanding of cortical regions subserving language. Past studies have exclusively focused on tone perception of the spoken language, and little is known as to the lexical tone processing in reading visual words and its associated brain mechanisms. In this study, we performed two experiments to identify neural substrates in Chinese tone reading. First, we used a tone judgment paradigm to investigate tone processing of visually presented Chinese characters. We found that, relative to baseline, tone perception of printed Chinese characters were mediated by strong brain activation in bilateral frontal regions, left inferior parietal lobule, left posterior middle/medial temporal gyrus, left inferior temporal region, bilateral visual systems, and cerebellum. Surprisingly, no activation was found in superior temporal regions, brain sites well known for speech tone processing. In activation likelihood estimation (ALE) meta-analysis to combine results of relevant published studies, we attempted to elucidate whether the left temporal cortex activities identified in Experiment one is consistent with those found in previous studies of auditory lexical tone perception. ALE results showed that only the left superior temporal gyrus and putamen were critical in auditory lexical tone processing. These findings suggest that activation in the superior temporal cortex associated with lexical tone perception is modality-dependent. Hum Brain Mapp, 36:304-312, 2015. (c) 2014 Wiley Periodicals, Inc.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0013,Primary auditory cortex representation of fear-conditioned musical sounds,"Auditory cortex is required for discriminative fear conditioning beyond the classical amygdala microcircuit, but its precise role is unknown. It has previously been suggested that Heschl's gyrus, which includes primary auditory cortex (A1), but also other auditory areas, encodes threat predictions during presentation of conditioned stimuli (CS) consisting of monophones, or frequency sweeps. The latter resemble natural prosody and contain discriminative spectro-temporal information. Here, we use functional magnetic resonance imaging (fMRI) in humans to address CS encoding in A1 for stimuli that contain only spectral but no temporal discriminative information. Two musical chords (complex) or two monophone tones (simple) were presented in a signaled reinforcement context (reinforced CS+ and nonreinforced CS-), or in a different context without reinforcement (neutral sounds, NS1 and NS2), with an incidental sound detection task. CS/US association encoding was quantified by the increased discriminability of BOLD patterns evoked by CS+/CS-, compared to NS pairs with similar physical stimulus differences and task demands. A1 was defined on a single-participant level and based on individual anatomy. We find that in A1, discriminability of CS+/CS- was higher than for NS1/NS2. This representation of unconditioned stimulus (US) prediction was of comparable magnitude for both types of sounds. We did not observe such encoding outside A1. Different from frequency sweeps investigated previously, musical chords did not share representations of US prediction with monophone sounds. To summarize, our findings suggest decodable representation of US predictions in A1, for various types of CS, including musical chords that contain no temporal discriminative information.",,Maybe,The paper addresses prosody or spoken word recognition in a way potentially transferable to tonal processing.,,,,,
P0014,Neural correlates of intonation and lexical tone in tonal and non-tonal language speakers,"Intonation, the modulation of pitch in speech, is a crucial aspect of language that is processed in right-hemispheric regions, beyond the classical left-hemispheric language system. Whether or not this notion generalises across languages remains, however, unclear. Particularly, tonal languages are an interesting test case because of the dual linguistic function of pitch that conveys lexical meaning in form of tone, in addition to intonation. To date, only few studies have explored how intonation is processed in tonal languages, how this compares to tone and between tonal and non-tonal language speakers. The present fMRI study addressed these questions by testing Mandarin and German speakers with Mandarin material. Both groups categorised mono-syllabic Mandarin words in terms of intonation, tone, and voice gender. Systematic comparisons of brain activity of the two groups between the three tasks showed large cross-linguistic commonalities in the neural processing of intonation in left fronto-parietal, right frontal, and bilateral cingulo-opercular regions. These areas are associated with general phonological, specific prosodic, and controlled categorical decision-making processes, respectively. Tone processing overlapped with intonation processing in left fronto-parietal areas, in both groups, but evoked additional activity in bilateral temporo-parietal semantic regions and subcortical areas in Mandarin speakers only. Together, these findings confirm cross-linguistic commonalities in the neural implementation of intonation processing but dissociations for semantic processing of tone only in tonal language speakers.",,Yes,The paper investigates lexical tone in relation to intonation or prosodic context.,,,,,
