title,authors,year,journal,abstract,author_keywords,keywords_plus,doi,ut,source_query,title_norm,first_author,dedup_key,source_query_all,dup_rank
The form and function processing of lexical tone and intonation in tone-language-speaking children with autism spectrum disorder,"Wang, L; Xiao, SR; Jiang, CM; Hou, QQ; Chan, AHD; Wong, PCM; Liu, F",2023,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,"Studies on how the form versus function aspect of tone and intonation is processed by autistic individuals have mainly focused on speakers of non-tonal languages (e.g., English) with equivocal results. While the samples' heterogeneous cognitive abilities may be contributing factors, the phenotype of tone and intonation processing in autism may also vary with one's language background. Thirty-eight cognitively able autistic and 32 non-autistic Mandarin-speaking children completed tone and intonation perception tasks, each containing a function and form condition. Results suggested that the abilities to discriminate tone and intonation were not impaired at either the form or function level in these autistic children, and that these abilities were positively associated with one another in both autistic and non-autistic groups. The more severe the autism symptoms, the worse the form- and function-level of tone and intonation processing. While enhanced tone and intonation processing has been found in a subgroup of autistic children, it may not be a general characteristic of the autistic population with long-term tone language experience. These findings reveal typical tone and intonation processing at both the form and function levels in cognitively able Mandarin-speaking autistic children and provide evidence for associated tone and intonation processing abilities across levels.",,,10.1121/10.0020271,WOS:001036228000003,"TS=(""processing"" AND ""intonation"" AND ""tone"")",the form and function processing of lexical tone and intonation in tone language speaking children with autism spectrum disorder,"Wang, L",doi:10.1121/10.0020271,"TS=(""lexical tone"" AND (recognition OR perception)) | TS=(""processing"" AND ""intonation"" AND ""tone"") | TS=(intonation AND (""lexical tone"" OR ""tone perception""))",2
Intonation processing increases task-specific fronto-temporal connectivity in tonal language speakers,"Chien, PJ; Friederici, AD; Hartwigsen, G; Sammler, D",2021,HUMAN BRAIN MAPPING,"Language comprehension depends on tight functional interactions between distributed brain regions. While these interactions are established for semantic and syntactic processes, the functional network of speech intonation - the linguistic variation of pitch - has been scarcely defined. Particularly little is known about intonation in tonal languages, in which pitch not only serves intonation but also expresses meaning via lexical tones. The present study used psychophysiological interaction analyses of functional magnetic resonance imaging data to characterise the neural networks underlying intonation and tone processing in native Mandarin Chinese speakers. Participants categorised either intonation or tone of monosyllabic Mandarin words that gradually varied between statement and question and between Tone 2 and Tone 4. Intonation processing induced bilateral fronto-temporal activity and increased functional connectivity between left inferior frontal gyrus and bilateral temporal regions, likely linking auditory perception and labelling of intonation categories in a phonological network. Tone processing induced bilateral temporal activity, associated with the auditory representation of tonal (phonemic) categories. Together, the present data demonstrate the breadth of the functional intonation network in a tonal language including higher-level phonological processes in addition to auditory representations common to both intonation and tone.",,,10.1002/hbm.25214,WOS:000573645300001,"TS=(""processing"" AND ""intonation"" AND ""tone"")",intonation processing increases task specific fronto temporal connectivity in tonal language speakers,"Chien, PJ",doi:10.1002/hbm.25214,"TS=(""lexical tone"" AND (recognition OR perception)) | TS=(""processing"" AND ""intonation"" AND ""tone"") | TS=(""representation"" AND (""intonation"" OR ""prosody"")) | TS=(intonation AND (""lexical tone"" OR ""tone perception""))",2
Mandarin-Speaking Amusics' Online Recognition of Tone and Intonation,"Tang, LR; Xu, YXX; Yang, ST; Meng, XY; Du, BQ; Sun, C; Liu, L; Dong, Q; Nan, Y",2024,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,"Purpose: Congenital amusia is a neurogenetic disorder of musical pitch processing. Its linguistic consequences have been examined separately for speech intonations and lexical tones. However, in a tonal language such as Chinese, the processing of intonations and lexical tones interacts with each other during online speech perception. Whether and how the musical pitch disorder might affect linguistic pitch processing during online speech perception remains unknown. Method: We investigated this question with intonation (question vs. statement) and lexical tone (rising Tone 2 vs. falling Tone 4) identification tasks using the same set of sentences, comparing behavioral and event -related potential measurements between Mandarin -speaking amusics and matched controls. We specifically focused on the amusics without behavioral lexical tone deficits (the majority, i.e., pure amusics). Results: Results showed that, despite relative to normal performance when tested in word lexical tone test, pure amusics demonstrated inferior recognition than controls during sentence tone and intonation identification. Compared to controls, pure amusics had larger N400 amplitudes in question stimuli during tone task and smaller P600 amplitudes in intonation task. Conclusion: These data indicate that musical pitch disorder affects both tone and intonation processing during sentence processing even for pure amusics, whose lexical tone processing was intact when tested with words.",,,10.1044/2024_jslhr-23-00520,WOS:001244512900006,"TS=(""processing"" AND ""intonation"" AND ""tone"")",mandarin speaking amusics online recognition of tone and intonation,"Tang, LR",doi:10.1044/2024_jslhr-23-00520,"TS=(""lexical tone"" AND (recognition OR perception)) | TS=(""processing"" AND ""intonation"" AND ""tone"") | TS=(intonation AND (""lexical tone"" OR ""tone perception""))",2
Online processing of tone and intonation in Mandarin: Evidence from ERPs,"Liu, M; Chen, YY; Schiller, NO",2016,NEUROPSYCHOLOGIA,"Event-related potentials (ERPs) were used to investigate the online processing of tone and intonation in Mandarin at the attentive stage. We examined the behavioral and electrophysiological responses of native Mandarin listeners to Mandarin sentences, which contrast in final tones (rising Tone2 or falling Tone4) and intonations (Question or Statement). A clear P300 effect was observed for question-statement contrast in sentences ending with Tone4, but no ERP effect was found for question-statement contrast in sentences ending with Tone2. Our results provide ERP evidence for the interaction of tone and intonation in Mandarin, confirming the findings with behavioral metalinguistic data that native Mandarin listeners can distinguish between question intonation and statement intonation when the intonation is associated with a final Tone4, but fail to do so when the intonation is associated with a final Tone2. Our study extended the understanding of online processing of tone and intonation (1) from the pre-attentive stage to the attentive stage and (2) within a larger domain (i.e. multi-word utterances) than a single word utterance. (C) 2016 Elsevier Ltd. All rights reserved.",,,10.1016/j.neuropsychologia.2016.08.025,WOS:000387194200027,"TS=(""processing"" AND ""intonation"" AND ""tone"")",online processing of tone and intonation in mandarin evidence from erps,"Liu, M",doi:10.1016/j.neuropsychologia.2016.08.025,"TS=(""lexical tone"" AND (recognition OR perception)) | TS=(""processing"" AND ""intonation"" AND ""tone"") | TS=(intonation AND (""lexical tone"" OR ""tone perception""))",2
Context Matters for Tone and Intonation Processing in Mandarin,"Liu, M; Chen, YY; Schiller, NO",2022,LANGUAGE AND SPEECH,"In tonal languages such as Mandarin, both lexical tone and sentence intonation are primarily signaled by F0. Their F0 encodings are sometimes in conflict and sometimes in congruency. The present study investigated how tone and intonation, with F0 encodings in conflict or in congruency, are processed and how semantic context may affect their processing. To this end, tone and intonation identification experiments were conducted in both semantically neutral and constraining contexts. Results showed that the overall performance of tone identification was better than that of intonation. Specifically, tone identification was seldom affected by intonation information irrespective of semantic contexts. However, intonation identification, particularly question intonation, was susceptible to the final lexical tone identity and affected by the semantic context. In the semantically neutral context, questions ending with a rising tone and a falling tone were equally difficult to identify. In the semantically constraining context, questions ending with a falling tone were much better identified than those ending with a rising tone. This perceptual asymmetry suggests that top-down information provided by the semantically constraining context can play a facilitating role for listeners to disentangle intonational information from tonal information, but mainly in sentences with the lexical falling tone in the final position.",,,10.1177/0023830920986174,WOS:000618452600001,"TS=(""processing"" AND ""intonation"" AND ""tone"")",context matters for tone and intonation processing in mandarin,"Liu, M",doi:10.1177/0023830920986174,"TS=(""lexical tone"" AND (recognition OR perception)) | TS=(""processing"" AND ""intonation"" AND ""tone"") | TS=(""spoken word recognition"" AND intonation) | TS=(intonation AND (""lexical tone"" OR ""tone perception""))",2
"Auditory Perception, Suprasegmental Speech Processing, and Vocabulary Development in Chinese Preschoolers","Wang, HLS; Chen, IC; Chiang, CH; Lai, YH; Tsao, Y",2016,PERCEPTUAL AND MOTOR SKILLS,"The current study examined the associations between basic auditory perception, speech prosodic processing, and vocabulary development in Chinese kindergartners, specifically, whether early basic auditory perception may be related to linguistic prosodic processing in Chinese Mandarin vocabulary acquisition. A series of language, auditory, and linguistic prosodic tests were given to 100 preschool children who had not yet learned how to read Chinese characters. The results suggested that lexical tone sensitivity and intonation production were significantly correlated with children's general vocabulary abilities. In particular, tone awareness was associated with comprehensive language development, whereas intonation production was associated with both comprehensive and expressive language development. Regression analyses revealed that tone sensitivity accounted for 36% of the unique variance in vocabulary development, whereas intonation production accounted for 6% of the variance in vocabulary development. Moreover, auditory frequency discrimination was significantly correlated with lexical tone sensitivity, syllable duration discrimination, and intonation production in Mandarin Chinese. Also it provided significant contributions to tone sensitivity and intonation production. Auditory frequency discrimination may indirectly affect early vocabulary development through Chinese speech prosody.",,,10.1177/0031512516663164,WOS:000382950300001,"TS=(""processing"" AND ""intonation"" AND ""tone"")",auditory perception suprasegmental speech processing and vocabulary development in chinese preschoolers,"Wang, HLS",doi:10.1177/0031512516663164,"TS=(""lexical tone"" AND (recognition OR perception)) | TS=(""processing"" AND ""intonation"" AND ""tone"") | TS=(intonation AND (""lexical tone"" OR ""tone perception""))",2
The Perception of Lexical Tone and Intonation in Whispered Speech by Mandarin-Speaking Congenital Amusics,"Zhang, GY; Shao, J; Zhang, CC; Wang, L",2022,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,"Purpose: A fundamental feature of human speech is variation, including the manner of phonation, as exemplified in the case of whispered speech. In this study, we employed whispered speech to examine an unresolved issue about congenital amusia, a neurodevelopmental disorder of musical pitch processing, which also affects speech pitch processing such as lexical tone and intonation perception. The controversy concerns whether amusia is a pitch-processing disorder or can affect speech processing beyond pitch. Method: We examined lexical tone and intonation recognition in 19 Mandarin-speaking amusics and 19 matched controls in phonated and whispered speech, where fundamental frequency (f(o)) information is either present or absent. Results: The results revealed that the performance of congenital amusics was inferior to that of controls in lexical tone identification in both phonated and whispered speech. These impairments were also detected in identifying intonation (statements/questions) in phonated and whispered modes. Across the experiments, regression models revealed that f(o) and non-f(o) (duration, intensity, and formant frequency) acoustic cues predicted tone and intonation recognition in phonated speech, whereas non-f(o) cues predicted tone and intonation recognition in whispered speech. There were significant differences between amusics and controls in the use of both f(o) and non-f(o) cues. Conclusion: The results provided the first evidence that the impairments of amusics in lexical tone and intonation identification prevail into whispered speech and support the hypothesis that the deficits of amusia extend beyond pitch processing.",,,10.1044/2021_jslhr-21-00345,WOS:000830953900007,"TS=(""processing"" AND ""intonation"" AND ""tone"")",the perception of lexical tone and intonation in whispered speech by mandarin speaking congenital amusics,"Zhang, GY",doi:10.1044/2021_jslhr-21-00345,"TS=(""lexical tone"" AND (recognition OR perception)) | TS=(""processing"" AND ""intonation"" AND ""tone"") | TS=(intonation AND (""lexical tone"" OR ""tone perception""))",2
Neural correlates of intonation and lexical tone in tonal and non-tonal language speakers,"Chien, PJ; Friederici, AD; Hartwigsen, G; Sammler, D",2020,HUMAN BRAIN MAPPING,"Intonation, the modulation of pitch in speech, is a crucial aspect of language that is processed in right-hemispheric regions, beyond the classical left-hemispheric language system. Whether or not this notion generalises across languages remains, however, unclear. Particularly, tonal languages are an interesting test case because of the dual linguistic function of pitch that conveys lexical meaning in form of tone, in addition to intonation. To date, only few studies have explored how intonation is processed in tonal languages, how this compares to tone and between tonal and non-tonal language speakers. The present fMRI study addressed these questions by testing Mandarin and German speakers with Mandarin material. Both groups categorised mono-syllabic Mandarin words in terms of intonation, tone, and voice gender. Systematic comparisons of brain activity of the two groups between the three tasks showed large cross-linguistic commonalities in the neural processing of intonation in left fronto-parietal, right frontal, and bilateral cingulo-opercular regions. These areas are associated with general phonological, specific prosodic, and controlled categorical decision-making processes, respectively. Tone processing overlapped with intonation processing in left fronto-parietal areas, in both groups, but evoked additional activity in bilateral temporo-parietal semantic regions and subcortical areas in Mandarin speakers only. Together, these findings confirm cross-linguistic commonalities in the neural implementation of intonation processing but dissociations for semantic processing of tone only in tonal language speakers.",,,10.1002/hbm.24916,WOS:000508026600001,"TS=(""processing"" AND ""intonation"" AND ""tone"")",neural correlates of intonation and lexical tone in tonal and non tonal language speakers,"Chien, PJ",doi:10.1002/hbm.24916,"TS=(""lexical tone"" AND (recognition OR perception)) | TS=(""processing"" AND ""intonation"" AND ""tone"") | TS=(""spoken word recognition"" AND intonation) | TS=(""spoken word recognition"" AND prosody) | TS=(intonation AND (""lexical tone"" OR ""tone perception""))",2
EARLY CORTICAL PROCESSING OF LINGUISTIC PITCH PATTERNS AS REVEALED BY THE MISMATCH NEGATIVITY,"Ren, GQ; Yang, Y; Li, X",2009,NEUROSCIENCE,"Previous brain imaging studies have shown the left hemispheric dominance for processing of lexical tone in native speakers. However, the low temporal resolution related to neuroimaging techniques might not explicitly detect the brain activities that occur at a relatively small or a determined time frame. We used the mismatch negativity (MMN) and a source estimation technique (low-resolution electromagnetic tomography [LORETA]) to probe the brain activities underlying the early pre-attentive processing of Mandarin lexical tone and intonation. A passive oddball paradigm was applied to present tone and intonation contrast in a speech and nonspeech context. The results showed that no difference of the MMN amplitudes existed between speech and nonspeech conditions, although a larger MMN was found for tone than intonation condition. Source localization of the MMNs for all of the conditions showed the right hemispheric dominance, regardless of their linguistic functions (tone vs. intonation) or speech context (speech vs. nonspeech). Interestingly, the MMN generator for normal tone and hummed tone originated from the same cortical area (right parietal lobe, BA 19). These findings suggest that the pre-attentive cortical processing can be modulated not only by speech stimuli, but also by their nonspeech hums. Our data are compatible with the acoustic hypothesis of speech processing. Crown Copyright (C) 2009 Published by Elsevier Ltd on behalf of IBRO. All rights reserved.",,,10.1016/j.neuroscience.2009.04.021,WOS:000267200300010,"TS=(""processing"" AND ""intonation"" AND ""tone"")",early cortical processing of linguistic pitch patterns as revealed by the mismatch negativity,"Ren, GQ",doi:10.1016/j.neuroscience.2009.04.021,"TS=(""lexical tone"" AND (recognition OR perception)) | TS=(""processing"" AND ""intonation"" AND ""tone"") | TS=(intonation AND (""lexical tone"" OR ""tone perception""))",2
Classification of Thai tone sequences in syllable-segmented speech using the analysis-by-synthesis method,"Potisuk, S; Harper, MP; Gandour, J",1999,IEEE TRANSACTIONS ON SPEECH AND AUDIO PROCESSING,,,,10.1109/89.736336,WOS:000077702700011,"TS=(""processing"" AND ""intonation"" AND ""tone"")",classification of thai tone sequences in syllable segmented speech using the analysis by synthesis method,"Potisuk, S",doi:10.1109/89.736336,"TS=(""lexical tone"" AND (recognition OR perception)) | TS=(""processing"" AND ""intonation"" AND ""tone"") | TS=(intonation AND (""lexical tone"" OR ""tone perception""))",2
